
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1604        441          0          0        436   alter.obj
      1516          0          0          0        544   analyze.obj
      1618         68          0          0        600   attach.obj
         0          0          0          0          0   auth.obj
       524          0          0          0        340   bitvec.obj
         0          0          0          0          0   btmutex.obj
     15002         16          0          0       7664   btree.obj
     10342        329          0          0       4032   build.obj
      1010          3          0          0        548   callback.obj
         0          0          0          0          0   complete.obj
      4420        182          0          0       1532   date.obj
      1110          0          0          0        492   delete.obj
     10576         10          0          0       5068   expr.obj
         0          0          0          0          0   fault.obj
     18448       1378          0          4      10352   fts3.obj
       820          0          0          0        888   fts3_hash.obj
         0          0          0          0          0   fts3_icu.obj
      2480        132          0          0       1012   fts3_porter.obj
       404          0          0          4        148   fts3_tokenizer.obj
       434         24          0          0        444   fts3_tokenizer1.obj
      4620        810          4          0       2520   func.obj
       836          0          0          0        884   hash.obj
      4830          0          0          0        768   insert.obj
         0          0          0          0          0   journal.obj
       444          0          0          0         72   legacy.obj
       244        600          0          0        192   loadext.obj
      4060        224          0          0       2960   main.obj
       566          0          0          0        908   malloc.obj
         0          0          0          0          0   mem1.obj
         0          0          0          0          0   mem2.obj
      1556          0          0          0       1612   mem3.obj
         0          0          0          0          0   mem4.obj
         0          0          0          0          0   mem5.obj
         0          0          0          0          0   mutex.obj
         0          0          0          0          0   mutex_kal.obj
         0          0          0          0          0   mutex_os2.obj
         0          0          0          0          0   mutex_unix.obj
         0          0          0          0          0   mutex_w32.obj
        12       1734          0          0         52   opcodes.obj
       442          0          0          8       1672   os.obj
      3196         56        140         48       2316   os_kal.obj
         0          0          0          0          0   os_os2.obj
         0          0          0          0          0   os_unix.obj
         0          0          0          0          0   os_win.obj
     10536         36          0          0       5840   pager.obj
      4752       7360          0          0        540   parse.obj
      5122        596         12          0        400   pragma.obj
      2656        288          0          0       1024   prepare.obj
      2982        217          0          0        832   printf.obj
       176          0          0        263        136   random.obj
     11342        226          0          0       2604   select.obj
       874          0          0          8        624   sqlite3ex.obj
       524         65          0          0        216   table.obj
      1484       1330          0          0        272   tokenize.obj
         0          0          0          0          0   trigger.obj
      1376          0          0          0        144   update.obj
      1236         68          0          0        396   utf.obj
      2256        275          0          0       1532   util.obj
       660        991          0          0        256   vacuum.obj
      9552         18        143          0        496   vdbe.obj
      2736         41          0          0       4872   vdbeapi.obj
      6020         12          0          0       3732   vdbeaux.obj
       928         48          0          0        388   vdbeblob.obj
       226          0          0          0        304   vdbefifo.obj
      2642          0          0          0       2160   vdbemem.obj
         0          0          0          0          0   vtab.obj
      7652         48          0          0       1712   where.obj
    166846      17626        299        335      76536   TOTAL

