
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1870          0          0          0        717   AacDspDecoder.obj
      3338         72          0          0        946   AacParser.obj
      1740          0          0          0        748   AmrDspDecoder.obj
      2456         18          0          0        891   AmrParser.obj
      3562          0          0       3084       3721   AudComUtil.obj
      1316         64          0          0        726   AudioDrain.obj
      1198         18          0          0        611   DafDecoder.obj
      2566          0          0          0        984   DafParser.obj
         0          0          0          0          0   M4aParser.obj
      1826         32         12          0       1018   MedAdapt.obj
      3308         16          0          0       1338   MelodyParser.obj
       726          0          0          0        503   MelodySynthesizer.obj
      1672          0          0         24        498   PcmMixer.obj
       324          0          0          0        311   PcmRouteSrc.obj
      4524          2          0         68       1511   PcmSink.obj
       760          0          0          0        408   SeekEngine.obj
      1572          0          0          0        549   WavDecoder.obj
      2010          0          0          0        503   WavParser.obj
         0      72392          0          0          0   Wavetable_SW.obj
      1704         32          0          0        733   aac_comp_drv.obj
         0          0          0          0          0   aac_sbr.obj
       408          0          0          0        260   aac_seek.obj
      7416         48          0          0       2843   afe_6260.obj
      4108         80          0        300       2002   afe_common.obj
     11438       1738          0        292       8944   am.obj
      1526          0          0        140       1104   amr.obj
      1048         32          0          0        358   amr_comp_drv.obj
         0          0          0          0          0   amr_seek.obj
         0       1336          0          0          0   amr_table.obj
      6440          0          0      21116       3473   apm_comp.obj
       868          0          0          0        486   ast.obj
         0          0          0          0          0   audioCF.obj
       172          0          0          1        333   audioPP.obj
        48         20          0          0        170   audio_create.obj
       122          0          0          0        342   audio_idma.obj
      3256          0          0        328       3289   audio_service.obj
         0          0          0          0          0   audioeq.obj
       518          0          0         24        743   audlp2_drv.obj
      1794        132          0          0        651   daf_comp_drv.obj
      2464         60          0          0        991   daf_seek.obj
       218          0          0          0        182   dpmgr.obj
      2508          0         24        100        652   dtmf_drv.obj
      2468          0          0        104       1551   i2s_drv.obj
      1466          0          0          0       1201   jamr.obj
       660          0          0          0        954   jimy_comp.obj
      1432          0          0          0       2171   jsmf_comp.obj
       716          0          0          0       1043   jtone_comp.obj
       742          0          0          0       1552   jwav_comp.obj
       400          0          0         20        250   kt_Detect.obj
       336         25          5          2       1102   l1audio_sph_srv.obj
      1932          0          5          0       1546   l1audio_trace.obj
     12850        217          0        120      11472   media.obj
      1604          0          0         56       1940   media_avsync.obj
      5368         32         12         20       2816   melody_common.obj
       842          0          0         48        788   pcm.obj
      1672          0          0         52       1817   pcm4way.obj
      2312          0          0         56       1285   pcmRouteService.obj
      3092          0          0          0       1318   pcm_strm_drv.obj
      3650        372          9       1608       4785   sp_drv.obj
       932         24          0          4        460   sp_enhance.obj
         2          0          0          0         52   spe_custom_drv.obj
      1454        100         12          4        557   spt_analyzer.obj
         2          0          0          0         52   tone_debug.obj
      1804          0          0         60        910   tone_drv.obj
       444          0          0         24        240   tone_loopback_rec.obj
       886        118          0          0        612   tonedect.obj
        90          0          0          0        128   tonesyn.obj
      2272          0          0        100        791   vm.obj
         8          0          0          0        104   vm_drv.obj
         0          0          0        196          0   wav.obj
       812        770          0          0        501   wav_codec.obj
      2588         64          0          0       1355   wav_comp_drv.obj
      3842          0          0        164       1843   wav_thumb.obj
    137502      77814         79      28115      88735   TOTAL

