
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       976          0          0          0       1178   arm_unaligned.obj
       188          0          4       4096        874   bl_BOOTARM.obj
         8          0          0          0        208   bl_Cache.obj
       406          0          1        533        332   bl_DBGPRINT.obj
       298          0         48          0        665   bl_FTL.obj
        16        228          0          0         52   bl_GFH_body.obj
         0          0          0          0          0   bl_ImageLoader.obj
         0          0          0        193          0   bl_ImageLoaderCommon.obj
       520          0          4          4        246   bl_ImageLoader_v5.obj
       430          0         40        129        919   bl_Init.obj
      1038        112          4      32793       1316   bl_Main.obj
         0          0          0          0          0   bl_NFI_V31.obj
         0          0          0          0          0   bl_SNAND_V2.obj
       140          0         20          0        260   bl_UART.obj
      1034          0          0          0       1259   bl_portingfunc.obj
       364          0          0          0        499   bl_regioninit.obj
         0          9          0          0          0   bl_verno.obj
       204          0          0          0        118   br_GFH_file_info.obj
       194          0          0          0        192   br_GFH_parser.obj
      2654         60          0          4       1554   cache.obj
       408         28          4          0        337   combo_flash_init.obj
       946        152          0       1964        734   combo_flash_nor.obj
         0          0          0          0         18   cp15.obj
        92         13          0          0        433   custom_blconfig.obj
       894        212        180          4        624   custom_emi_MT6260.obj
        56         19          0          0        319   custom_flash.obj
       168         35        160         72         65   custom_hw_default.obj
       188         32          4         24        267   custom_sfi.obj
        20          0          0          4         59   dcl_f32k_clk.obj
       682          0          0         24        582   dcl_pwm.obj
        52          0          0          0        156   drv_comm_bl.obj
        70          0          0          4        342   emi.obj
       136          0          0          0         61   f32k_clk.obj
       146          0          0          0        533   flash_cfi.obj
       432          0          0          4        500   flash_disk.obj
         0          0          0          0          0   flash_mtd.amd.obj
         0          0          0          0          0   flash_mtd.intel.obj
       402          0          8         22        456   flash_mtd.obj
         0          0          0          0          0   flash_mtd_pf_dal.obj
       972          0          0          1        599   flash_mtd_sf_common.obj
      1892          0          4          5       1206   flash_mtd_sf_dal.obj
       236         20          0          0        446   init_comm.obj
       180          0          0          0        221   l1_interface.obj
        14          0          0          0        364   lpwr.obj
         2          0          0          0         52   pdn.obj
         0          0          0          0          0   pdnoldarch.obj
       212          0          0          0        174   pll.obj
       178          0          0          0        187   pwic_cust.obj
      1662          0         64         26        892   pwm.obj
     18510        920        545      39906      19299   TOTAL

