
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
     12884       1144         20       1180       4104   CBR.obj
         0          0          0          0          0   SPI_NAND_DAL.obj
         0          0          0          0          0   SPI_NAND_DevConfig.obj
         0          0          0          0          0   SPI_NAND_MTD_FDM50.obj
       976          0          0          0       1178   arm_unaligned.obj
         8         40          0          0        104   bl_Alg.obj
        96          0          4       4096        844   bl_BOOTARM.obj
        70          0          0      16384        274   bl_Cache.obj
       578          0          1        554        330   bl_DBGPRINT.obj
         0          0          0          0          0   bl_FOTA.obj
       410          0         48          1        744   bl_FTL.obj
        16        128          0          0         52   bl_GFH_body.obj
         0          0          0          0          0   bl_ImageLoader.obj
       492          0          0        193         63   bl_ImageLoaderCommon.obj
       846         16          4          4        546   bl_ImageLoader_v5.obj
       480          0         40        128       1038   bl_Init.obj
      2512        158          8      35191       1910   bl_Main.obj
         0          0          0          0          0   bl_NFI.obj
         0          0          0          0          0   bl_NFI_V3.obj
         0          0          0          0          0   bl_NFI_V31.obj
         0          0          0          0          0   bl_SNAND_V2.obj
         0          0          0          0          0   bl_STT_SF.obj
       140          0         20          0        260   bl_UART.obj
         0          0          0          0          0   bl_Update.obj
         4          0          0          0         52   bl_pdn.obj
      1030          0          0          0       1207   bl_portingfunc.obj
       408          0          0          0        505   bl_regioninit.obj
         0          9          0          0          0   bl_verno.obj
       412          0         52          0        863   bmt_bl_chr_setting.obj
       124        212          0          0        125   bmt_hw.obj
       204          0          0          0        118   br_GFH_file_info.obj
       194          0          0          0        192   br_GFH_parser.obj
      2654         60          0          4       1554   cache.obj
        72          0          0       2052         63   cbr_util.obj
       408         28          4          0        337   combo_flash_init.obj
       946        152          0       1964        734   combo_flash_nor.obj
         0          0          0          0         18   cp15.obj
         8          0          0          0        104   custom_SNAND.obj
        96         13          0          0        485   custom_blconfig.obj
        56         19          0          0        319   custom_flash.obj
       168         35        160         72         65   custom_hw_default.obj
         0          0          0          0          0   custom_img_config.obj
       456        160          4         24        249   custom_sfi.obj
       444          0          0          4        462   dcl_f32k_clk.obj
       674          0          0          0        453   dcl_gpio.obj
        82          0          0          8        423   dcl_pmu.obj
      2244       1416          0        104       1429   dcl_pmu6260.obj
       292          0          0          0         63   dcl_pmu6260_init.obj
       468          0          0          0        378   dcl_pmu_common.obj
       682          0          0         24        582   dcl_pwm.obj
      1222          0          0        132        587   dcl_rtc.obj
        52          0          0          0        156   drv_comm_bl.obj
        70          0          0          4        342   emi.obj
       528          0          0          0        324   f32k_clk.obj
       146          0          0          0        533   flash_cfi.obj
       432          0          0          4        500   flash_disk.obj
         0          0          0          0          0   flash_mtd.amd.obj
         0          0          0          0          0   flash_mtd.intel.obj
       402          0          8         22        456   flash_mtd.obj
         0          0          0          0          0   flash_mtd_pf_dal.obj
       972          0          0          1        599   flash_mtd_sf_common.obj
      1892          0          4          5       1206   flash_mtd_sf_dal.obj
      1714        324          0          2       1401   gpio.obj
        72          0          0          1         59   gpio_drv.obj
       704        292         24          0        962   gpio_setting.obj
         0       1148          0          0          0   gpio_var.obj
       236         20          0          0        446   init_comm.obj
       268          0          1          8        357   keypad_bl.obj
        24          4         81          0        156   keypad_def.obj
         0          0          0          0          0   lcd_display.obj
        14          0          0          0        364   lpwr.obj
         0          0          0          0          0   msdc_adap_bl.obj
         0          0          0          0          0   msdc_dma_bl.obj
         2          0          4          8         52   nld_central_ctrl.obj
         2          0          0          0         52   pdn.obj
         0          0          0          0          0   pdnoldarch.obj
        44          0          0          0         61   pmic_adpt_bl.obj
       272          0          0          0         72   pmu_custom.obj
       178          0          0          0        187   pwic_cust.obj
      1662          0         64         26        892   pwm.obj
      2498          0          0          9       2441   rtc.obj
        84        262         36      24064        423   usb_custom.obj
         2          0          0          0         52   usbdl_debug_tool.obj
       220          0          0          0        406   usbdl_pmu.obj
         2          0          0          0         52   usbdl_upll.obj
         0          0          0          0          0   usbdl_usb.obj
         0          0          0          0          0   usbdl_usb_drv.obj
         0          0          0          0          0   usbdl_usb_resource.obj
         0          0          0          0          0   usbdl_usbacm_adap.obj
         0          0          0          0          0   usbdl_usbacm_drv.obj
     45348       5640        587      86273      35365   TOTAL

