
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       364          0          0          0         60   bt_a2dp_main.obj
      4562          0          0        108       2516   bt_adp_a2dp.obj
      3320          0          0       1084       1280   bt_adp_avrcp.obj
       484          0          0          0        128   bt_adp_bm.obj
        88          0          0          0         64   bt_adp_em.obj
       592          0          0          0        272   bt_adp_filesystem.obj
      5384          7          4       1384       3080   bt_adp_hfg.obj
         2          0          0          0         52   bt_adp_hsg.obj
         0          0          0         13          0   bt_adp_spp.obj
       776          3          8          0        976   bt_adp_spp_vp.obj
       140          0          0          0        660   bt_adp_system.obj
       924          0          0          0       1016   bt_avrcp_util.obj
      1216          0          0       1568        964   bt_ddb4w.obj
       262          0          0          0        452   bt_hfg_util.obj
      2320         20          4         48        308   bt_main.obj
      4164          0          0         48       2716   bt_maui_bm.obj
       136          0          0          0        244   bt_maui_os.obj
      1388          0          0          0        948   bt_maui_system.obj
      2490          0          0          0       2284   bt_maui_utility.obj
       334          0          0          0        976   bt_osapi.obj
        72          0          0          0        180   bt_profile_init.obj
        60          0          0          0        360   bt_uart.obj
        86          0          0          0        128   bt_utility.obj
       368          0          0          0        352   hal_btutils.obj
     29532         30         16       4253      20016   TOTAL

