
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      6230          0          0          0       2284   BtbmDev.obj
        24          0          0       2268         60   avalloc.obj
       974          0          0         64        832   avctp.obj
       588          0          0          0        928   avctpcon.obj
      1006          0          0          0        472   avctpmsg.obj
      4486          0          0          0       2640   avdtp.obj
       898          0          0          0       1072   avdtpcon.obj
      6734          0          0          0       1788   avsigmgr.obj
      1296          0          0          0        480   avtp.obj
        20        345          0        256        156   bt_parseopts.obj
         0          0          0          0          0   bt_virtual_sniffer.obj
       152          0          0          0         68   bt_wifi_coexist_setting.obj
      1046          0          0          0        956   bt_wmt.obj
       892          0          0         16        512   btaccctrl.obj
       288          0          0      41308        184   btalloc.obj
       618          0          0       1584        244   btbm.obj
       268          0          0          0        208   btbmBlocklist.obj
      4908        205          0          5       2480   btbmCon.obj
       328          0          0          0        252   btbmProfilesCtrl.obj
       116          0          0          0        132   btbmSdp.obj
      4624          0          0          0       2036   btbmSec.obj
      1176          0          0          0       1160   btbmSetting.obj
         0        291          0          0          0   btrom.obj
       174          0          0          0        128   btutils.obj
      5950         80          0         96       2872   conmgr.obj
         0          0          0          0          0   debug.obj
       482          0          0          0        620   eventmgr.obj
      2100          0          4         64       1596   hci.obj
      1368         38          1          0        460   hci_evnt.obj
       636          0          0          0        568   hci_meta.obj
      3074          0          0          0       1176   hci_proc.obj
       584          0          0          0        268   hci_util.obj
      2466          0          0          0       1348   l2cap.obj
      1468          0          0          0        428   l2cap_if.obj
      3112          0          0          0        796   l2cap_sm.obj
      2458          0          0          0       1756   l2cap_utl.obj
      9190          0          1          0       3456   me.obj
       720          0          0          0        252   meacc.obj
     10916          0          0          0       4356   mecon.obj
       942          0          0          0        456   medev.obj
       436          0          0          0        192   meeir.obj
      6508          0          0          0       4300   meif.obj
      2240          0          0          0       1060   meradio.obj
      3024          0          0          0       1340   mesco.obj
         0          0          0          0          0   mescodat.obj
       840          0          0          0        492   mescoif.obj
      7720          0          0          0       2932   mesec.obj
      1544          0          0          0        516   radiomgr.obj
      3480          0          0          0       1292   rfc_ctl.obj
        88          0          0          0        124   rfc_fcs.obj
      6132         71          0          0       1444   rfc_sm.obj
      4114          0          0          0       1652   rfc_util.obj
      3058          2          0          0       1716   rfcomm.obj
       554          0          0          0        620   ring.obj
       482          0          0          0        304   rxbuff.obj
      4626          0        108        408       1460   sdap.obj
        28          0          0          0        120   sdp.obj
      2474          0          0          0        728   sdpclient.obj
      5504         37         96          0       1868   sdpserv.obj
      1208          0          0          0        616   sdputil.obj
        70          0          0          0        124   transprt.obj
      2152          0          0        172       1064   uarttran.obj
       622          0          0          0       1444   utils.obj
    139216       1069        210      46241      64888   TOTAL

