
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1770          0          0          0        852   cc_aoc_proc.obj
        84         20          0          0        116   cc_create.obj
      2706          0          0          0       1220   cc_disc_proc.obj
      2232          0          0          0       1488   cc_dtmf_proc.obj
      3620          0          0          0       2128   cc_estab_proc.obj
      4716          0          0          0       2388   cc_facility_proc.obj
       768        268          0          0        248   cc_fsm_main.obj
      1532          0          0          0        992   cc_hold_proc.obj
      2222          0          0          0       2700   cc_ie_err_chk_proc.obj
      1098          0          0          0       2184   cc_ie_form.obj
       656          0          0          0        936   cc_init.obj
      1196          0          0       1716        320   cc_main.obj
       736          0          0          0        464   cc_misc_proc.obj
      1424          0          0          0        800   cc_modify_proc.obj
      1524          0          0          0       1316   cc_mpty_proc.obj
      2146          0          0          0       1752   cc_msg_form.obj
       516          0          0          0        504   cc_reestab_proc.obj
       428          0          0          0        436   cc_timer.obj
      3100          0          0          0       2464   cc_utility.obj
        40          0          0          0        120   cc_uus_proc.obj
     32514        288          0       1716      23428   TOTAL

