
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       112          0         20          0        172   dhcp_create.obj
       104          0          8       1408         60   dhcp_init.obj
       688          0          0          2         80   dhcp_main.obj
      1000          4          0          0        456   dhcp_pack.obj
      6622          0         36          0        760   dhcp_states.obj
       640          0          0          0        316   dhcp_timer.obj
      1920          0          0       1120        476   dhcp_unpack.obj
      5346          0          0          0       1868   dhcp_utils.obj
     16432          4         64       2530       4188   TOTAL

