
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
        16          0          0          0         60   flc2_callback.obj
         0         62       1000      83376          0   flc2_config.obj
      2040          0          0          0       1060   flc2_debug_functions.obj
      3966          0          0          0       1044   flc2_ent_functions.obj
       332          0          0          0        124   flc2_init.obj
      1680          0          0          0        580   flc2_mem_mngr_adm_adp.obj
       480          0          0          0        184   flc2_mem_mngr_config.obj
       150          0          0          0        188   flc2_mem_mngr_ctrl_buff_adp.obj
         0          0          0          0          0   flc2_mem_mngr_fix_size.obj
       328          0          0          0        128   flc2_mem_mngr_init.obj
         0          0          0          0          0   flc2_test.obj
      8992         62       1000      83376       3368   TOTAL

