
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1208          0          0          0        199   format.obj
      2486          8          0          9       2956   fs_func.obj
      8152         22          4         28       4100   fs_func_adv.obj
       862          0          0          0        918   fs_func_async.obj
     14274          6          1          1       3409   fs_internal.obj
       840          0          0          0       1057   fs_internal_api.obj
       876          0          8        324        855   fs_kal.obj
       258          0          0          0        179   fs_sst.obj
      1602         20          2         24       1187   fs_task.obj
       260          0         32          0        417   fs_usbms.obj
      1138         80          0          8       1528   fs_utility.obj
      1608          0         60         28       2280   fsal.obj
      1188          0          0          0        610   fsal_buffer.obj
       492          0          0          1        572   fsal_read.obj
       278          0          0          0        308   fsal_write.obj
      3118          0          0          0        833   rtfbs.obj
      2158          0          0       1221       1599   rtfbuf.obj
      9034        170          4         16       3561   rtfcore.obj
       950          0          8          0        845   rtfex.obj
     32264         74         12        185      10752   rtfiles.obj
     83046        380        131       1845      38165   TOTAL

