
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       424          0          0          0         75   gd_2d_engine.obj
        70       2978          0          0        169   gd_primitive.obj
      7576          0          0          0       1034   gd_primitive16.obj
      2904          0          0          0        429   gd_primitive24.obj
      1236          0          0          0        399   gd_primitive32.obj
      1322          0          0          0        804   gd_primitive32pargb.obj
      1212          0          0          0        397   gd_primitive8.obj
      3002          0         20       2560       1837   gdc_main.obj
       596          0         20         80        650   gdd_main.obj
      1020          0          0        104        562   gdi.obj
      3308          0          4       2576       2389   gdi_animate.obj
      1672          0          0         92        953   gdi_bytestream.obj
      3290        244          0         20        607   gdi_font.obj
      6934       2530          0         93       5435   gdi_image.obj
      7176          0          4         44       1880   gdi_image_9slice.obj
      7652         16          0         84       1451   gdi_image_alpha_bmp.obj
      2756          0          0         20       1403   gdi_image_alpha_bmp_v2.obj
      5168          0          0          0       1649   gdi_image_alpha_bmp_v2_internal.obj
      2368         66          0         20       1072   gdi_image_bmp.obj
       132          0          0          4        307   gdi_image_decoder.obj
      1292          0          0          0        595   gdi_image_dev_bmp.obj
      4398          0          1       1060       2604   gdi_image_gif.obj
      2942          0          0         36        862   gdi_image_hwjpg_v2.obj
      1074          0          0          2       1136   gdi_image_jpeg.obj
         0          0          0          0          0   gdi_image_ktx.obj
      4276          0          0         28        982   gdi_image_png.obj
       474          0          0          0        317   gdi_image_sequence.obj
      1226          0          0          0        734   gdi_image_virtualfile.obj
       186          0          0          0        194   gdi_image_wbmp.obj
      1022         80          0         12        508   gdi_imgdec.obj
      5700         47          0          4        904   gdi_imgdec_bmp.obj
       422          0          0          0        494   gdi_imgdec_bytestream.obj
       204          0          0          0        142   gdi_imgdec_gif.obj
      2118         88          0          0        656   gdi_imgdec_resizer.obj
       942          0          0          0        407   gdi_imgdec_wbmp.obj
       900          0          0          8        633   gdi_ipp.obj
     13634          8          0       8164       8457   gdi_layer.obj
      3086          0          0        240       2751   gdi_lcd.obj
        74          0          0          8        347   gdi_lfs.obj
       544          0         20          0        472   gdi_mutex.obj
     14884        192          0        481       4040   gdi_primitive.obj
       120          0         20          0        172   gdi_task.obj
      5066        512          0          4       2038   gdi_util.obj
       420         72          0     316924        697   ui_buffer.obj
    124822       6833         89     332668      53644   TOTAL

