
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       518          0          0          0        620   bfc_decode_1bpp.obj
      1910          0          0          0        680   bfc_decode_argb8888.obj
      1520        244          0          0        228   bfc_decode_raster.obj
      1958          0          0          0        696   bfc_decode_rgb565.obj
      2744          0          0          0        716   bfc_decode_rgb888.obj
      1954        242          0          0        804   exif_dec_parser.obj
       740          0          0          0        732   exif_enc_content.obj
      1666          6          0          0       1140   exif_enc_data.obj
        88          0        274          0        144   exif_enc_default_table.obj
      1938          0          0          0        280   exif_enc_entry.obj
        12          0         20          0         52   exif_enc_ifd.obj
        22          0          0          0        120   exif_enc_mem.obj
        44          0         26          0         60   exif_enc_tag.obj
       422          0          0          0        676   exif_enc_utility.obj
      1362          0          0          0       1240   g2d_lt_api.obj
         0        100          0          0          0   g2d_lt_csc_switch.obj
      2776          0          0          0       1212   g2d_lt_int.obj
         0          0          0          0          0   g2d_lt_int_hw.obj
       400          0          4          1        308   gfx_authority_check.obj
      3002          0         12          0       1504   gzio.obj
       218          0          0          0         68   iul_img_misc.obj
         0          0          0          0          0   jaia_exif.obj
         0          0          0          0          0   jaia_int.obj
         0          0          0          0          0   jaia_qvi.obj
         0          0          0          0          0   jaia_tn.obj
       762        493          0          0       1292   png.obj
       254         16          0          0        420   pngerror.obj
       754          0          0          0       1340   pngget.obj
       296          0          0          0        768   pngmem.obj
      3268        283          0          0       1040   pngread.obj
       152         65          0          0        120   pngrio.obj
      5784          0          0          0       1512   pngrtran.obj
       250          0          0          0        300   pngrutil.obj
      1028          0          0          0        448   pngset.obj
      1072        768          0          0        960   pngtrans.obj
      1044          0          0          0        552   sw_lt_gen_matrix.obj
      1566          0          0          0        576   sw_rgb_rotator_argb6666.obj
      1282          0          0          0        576   sw_rgb_rotator_argb8888.obj
       812          0          0          0        548   sw_rgb_rotator_gray.obj
      1458          0          0          0        576   sw_rgb_rotator_rgb565.obj
      3120          0          0          0        576   sw_rgb_rotator_rgb888.obj
      2318          0          0          0        572   sw_yuv_rotator_uyvy422.obj
      2482          0          0          0        568   sw_yuv_rotator_yuv420b4x4p.obj
      2264          0          0          0        576   sw_yuv_rotator_yuv420p.obj
         0          0          0          0          0   swipp_interface.obj
      1932          0          0          0        748   swjd_dequant_idct_unit.obj
      2384          0          0          0        784   swjd_fragment_processor.obj
      6448          0          0          0        760   swjd_post_itpl.obj
      1242          0          0          0       1180   swje_fragment_processor.obj
      4188          0          0          0        660   swje_sw_resize_r2y_565.obj
      7152          0          0          0       1240   swje_sw_resize_r2y_888.obj
      1144          0          0          0        524   swje_sw_resize_uyvy_yuv.obj
      3074          0          0          0        816   swje_sw_resize_yuv.obj
      2108          0          0          0        356   swje_sw_rotate.obj
     82932       2217        336          1      31668   TOTAL

