
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       550          0          0        100        480   bfc_decode_api.obj
       112        200          0          0        177   bfc_decode_feature_switch.obj
      2224         12          5         64       1426   color_api.obj
       304          0          0          0        609   color_drv_6260_series.obj
         0          0          0          0          0   color_drv_null_driver.obj
       194        716          0          0        152   drv_gfx_codec_limitation.obj
        16          0          0          0        208   drv_gfx_dct_control.obj
       124          0          0          0        126   drv_gfx_dynamic_switch.obj
       370          0          0         52        359   drv_gfx_hisr_ctrl.obj
       152          0          4          4        126   drv_gfx_l1sm_ctrl.obj
       388          0          4         13        254   drv_gfx_stack_switch_manager.obj
        70          0          0          0       1040   exif_enc_api.obj
         0          0          0          0          0   exif_enc_wrapper.obj
         0          0          0          0          0   exif_legacy.obj
       626          0          0          0        714   g2d_bitblt_api.obj
      1118         12          0       1052        957   g2d_common_api.obj
      1544          0          0          0        438   g2d_drv_bitblt_6260_series.obj
      1286          0          0          8       1594   g2d_drv_common_6260_series.obj
       880          0          0          0        358   g2d_drv_font_6260_series.obj
      1936          0          0          0        571   g2d_drv_lt_6260_series.obj
      1978          0          0          0        329   g2d_drv_overlay_6260_series.obj
      1222          0          0          0        260   g2d_drv_rectfill_6260_series.obj
        48          0          0          0        416   g2d_font_api.obj
       250          0          0         12        486   g2d_mutex.obj
       786          0          0          0        991   g2d_overlay_api.obj
       430          0          0          0        382   g2d_rectfill_api.obj
      3394          0          0         12       3132   gif_decode_api.obj
      3180          0          0       2845       1930   gif_decode_int_sw.obj
      4920          0          0          0        465   gif_decode_int_sw_codec.obj
      3090        228          0        525       2746   gif_decode_int_sw_util.obj
       734          0          0          0       1187   gif_parse.obj
       174          0          0         68        949   ipp_interface.obj
      3198          0          0         16       2120   ivlw_decoder.obj
      2784         68          0          0       1686   ivlw_encoder.obj
       124          0          0          0       1612   jaia_api.obj
         0          0          0          0          0   jaia_utility.obj
      1974          0          0          0       1430   jpeg_decode_api.obj
         0        344          0          0          0   jpeg_decode_feature_switch.obj
      1830          0          0          0        526   jpeg_decode_int.obj
         0          0          0          0          0   jpeg_decode_int_hw.obj
      1576          0          0          0        386   jpeg_decode_int_sw.obj
      2378          0          0          0        297   jpeg_decode_int_sw_post_parsing.obj
         6          0          0          0        156   jpeg_drv_null_driver.obj
      2462          0          0          0       1850   jpeg_encode_api.obj
         0        160          0          0          0   jpeg_encode_feature_switch.obj
      1170          0          0          0        556   jpeg_encode_int.obj
         0          0          0          0          0   jpeg_encode_int_hw.obj
      2544          0          0          0        857   jpeg_encode_int_sw.obj
       498          0          0          0        377   jpeg_encode_wrapper.obj
         0          0          0          0          0   jpeg_mem_check.obj
       408          0          0          0        479   jpeg_misc_api.obj
       258          0          0          0        310   jpeg_parse_api.obj
      2638          0          0          0        867   jpeg_parse_int.obj
      1692          0          0         72        908   lwp_decoder.obj
         0          0          0          0          0   mav_decoder.obj
         0          0          0          0          0   mav_encoder.obj
       996          0          0          0       1527   png_decode_api.obj
       392          0          0          0        136   png_decode_int.obj
         0          0          0          0          0   png_decoder_int_hw.obj
      1312          0          0         48        705   png_decoder_int_sw.obj
         0          0          0          0          0   png_drv_6268_series.obj
         0          0          0          0          0   png_drv_6276_series.obj
      1052          0          0          0       1142   rgb_resizer_api.obj
         0          0          0          0          0   rgb_resizer_int_hw.obj
       182          0          0          0        248   rgb_resizer_int_sw.obj
      1918          0          0        188       1211   rgb_rotator_api.obj
       676          0          0          4        371   rgb_rotator_int_hw.obj
       172          0          0          0        170   rgb_rotator_int_sw.obj
      2236          0          0          0       1812   rs_buffer.obj
       230          0          0          0        362   simple_memory_manager.obj
       856          0          0          0        920   yuv_rotator_api.obj
         0          0          0          0          0   yuv_rotator_int_hw.obj
       146          0          0          0        170   yuv_rotator_int_sw.obj
     67808       1740         13       5083      46053   TOTAL

