
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      3350        394        436      15461       1243   kjx_agps.obj
       532          0          0       1572        135   kjx_at_command.obj
      7316        353          0         38       1738   kjx_function.obj
     17592        196        341       6493       1569   kjx_gprs_format.obj
      7306        460        446       5501       2605   kjx_gps.obj
      1602         39          0         21        740   kjx_gps_main.obj
      1324        220          0          0        388   kjx_imei.obj
         0          0          0          0          0   kjx_infrared.obj
       866          0          0         88       1363   kjx_led_isink.obj
      7914        816       2136      24379       3607   kjx_main.obj
     15586       1821       1054       1348       8367   kjx_main_TOUR.obj
      1542        128          0         38        626   kjx_net.obj
      1124          0          1       1179        550   kjx_prin.obj
      1488          0          0         24        433   kjx_reduce_string.obj
     22060       1440         12       1385       4124   kjx_rfid.obj
      3308        240         56       1052       1987   kjx_rfid_uart.obj
       384         92          2         24        351   kjx_sensor.obj
      1006         96          0        260        390   kjx_sms.obj
      6144        251       1031         44       1348   kjx_sms_TOUR.obj
     12656        580        264       4609       3691   kjx_sms_command.obj
         0          0          0          0          0   kjx_soc.obj
      1068        140          0        124        505   kjx_socket.obj
       168         40        156          0         63   kjx_socket_foreign.obj
      1954        367          0        364       1023   kjx_socket_main.obj
       580         85        508          0         78   kjx_switch.obj
    116870       7758       6443      64004      36924   TOTAL

