
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       316          0          0          2        424   FCS.obj
      2244          0          5          0       1924   L1C2_Trace.obj
      1964          0          5          0       1724   L1C_CSD_Trace.obj
      2768          0          5          0       2132   L1C_Trace.obj
      3120          0          5          0       2132   L1C_egprs_trace.obj
      2808          0          5          0       2108   L1D2_Trace.obj
      3076          0          5          0       2244   L1D3_Trace.obj
      3196          0          5          0       2316   L1D_EDGE_Trace.obj
      2536          0          5          0       2108   L1D_Trace.obj
      2848          0          5          0       2136   L1SC_Trace.obj
      4352          0          5          0       2916   L1SM_Trace1.obj
      1680          0          5          0       1368   L1i_EGPRS_Trace.obj
        72          0          0          0        228   divider.obj
        10          0          0          0        156   l1_cal.obj
        12         20          0          0         52   l1_create.obj
      1056          0         38         32        952   l1_interface1.obj
         4          0          0          0        104   l1_interface2.obj
      2976          0          5          0       2060   l1c3_trace.obj
      5592          0          5          0       4004   l1c4_trace.obj
      3332          0          5          0       2364   l1c5_trace.obj
        18          0          0          8        208   l1csm.obj
       340          0          0          0        456   l1d_gpio.obj
         0       1664          0          0          0   l1d_internal_data.obj
      1800          0          5          0       1420   l1i_amr_trace.obj
      2500          0          5          0       2152   l1i_cs_trace.obj
      2064          0          5          0       2040   l1i_ps_trace.obj
      4270          0          0        310       3340   l1sm.obj
      2168          0          5          0       1512   l1t_amr_trace.obj
       508          0          0          8        856   l1tst_afc.obj
       472          0          0          4        392   l1tst_agc.obj
      1986          0        218         12       2188   l1tst_cfg.obj
       536          0          0          4        564   l1tst_cont.obj
       448          0          0          4        532   l1tst_fcb.obj
      4724          4          2        212       2252   l1tst_fhc.obj
       896          0          0          4        556   l1tst_nbtx.obj
      2224         92         77         28       1492   l1tst_nsft.obj
      1386         29          2        336       1040   l1tst_pdtch.obj
       792          0          0          4        804   l1tst_pm.obj
       144          0          0          4        504   l1tst_ul.obj
       544          0          3         76        788   m11000.obj
       560        179          0          1        556   m11002.obj
       360          0          0          0        448   m11003.obj
       186          0          0          0        168   m11005.obj
      1670          0          0       9440       1100   m11006.obj
      1490        121          0          0       1772   m11007.obj
       310          0          0          7       1040   m11008.obj
      3010          0          1         28       1408   m11100.obj
        60          0          0          0        232   m11101.obj
       660         17          0          0        240   m11110.obj
       820         17          0          0        192   m11111.obj
      1056         19          0          0        232   m11112.obj
       720         22          0          0        256   m11113.obj
       896         20          0         28        620   m11120.obj
       930        104          0         12       1296   m11121.obj
      2064        208          0         32       2088   m11122.obj
       462         48          0         12        540   m11123.obj
       316         48          0        280        508   m11124.obj
      2922          0          0        112       1208   m11125.obj
       774        112          0        152       1616   m11126.obj
       260          0          0          8        352   m11127.obj
      1000          0          0          1       1104   m11128.obj
       828         22          0         20        836   m11129.obj
        82          0          0          0        360   m11140.obj
       470          0          0          0        968   m11141.obj
        64          0          0          0         64   m11142.obj
      2362          0          0          0       1900   m11143.obj
       980          0          0          0        224   m11144.obj
      1026         21          0          0        300   m11160.obj
      1148         22          0          0        300   m11161.obj
       882         22          0          0        192   m11162.obj
      1524         22          0          0        312   m11163.obj
      2320        156          0         32       2208   m11170.obj
       254         32          0          2        560   m11171.obj
      1184         80          0         28        956   m11172.obj
       368         48          0          6        360   m11173.obj
      1080         40          0         40        752   m11174.obj
       336         24          0        152        404   m11175.obj
       376         24          0          1        372   m11176.obj
       808         96          0        168        944   m11177.obj
      3496        240         16        420       1588   m11178.obj
       644         32          0         12        368   m11179.obj
       136         40          0          1        404   m11180.obj
       278          0          0         11        408   m11182.obj
        52          0          0          0         60   m11190.obj
       590          0          0          0        464   m11191.obj
       380          0          0          0        264   m11192.obj
      1708          0          0          0       1056   m11193.obj
       312          0          0          0         76   m11194.obj
      1300          0          0       1140       1180   m11280.obj
      2022          0          0       3084       1400   m11281.obj
      2574          0          0        728       1472   m11282.obj
       848         51          0          1        624   m11284.obj
        40          0          0          0        120   m11285.obj
        44          0          0          0        120   m11286.obj
       258          0          0         12        576   m11287.obj
       188          0          0          2        244   m11288.obj
      1288          0          0          0        712   m11289.obj
       572          0          0         16        488   m11291.obj
       444          0          0         60        640   m11300.obj
      2338          0          0        148       4140   m11301.obj
      1150          0         24          0       1344   m11302.obj
      3620        464          0       2180       3684   m11303.obj
       854          0          0        192        840   m11304.obj
      2290          4          0        136       1920   m11305.obj
       660          0          0         36        780   m11306.obj
      1062         40          0        456        888   m11410.obj
       800          0          0         44        580   m11411.obj
       820          0          0         96        760   m11413.obj
      1540         48          0        116       1296   m11420.obj
       698          0          0         92        640   m11421.obj
      1360         51          0        112       1156   m11422.obj
      1088          0          0        140        764   m11423.obj
      2018        120          0         56       1500   m11424.obj
      1092          0          0         28        500   m11425.obj
       196          0          0          8        356   m11426.obj
       396        102          0         36        424   m11427.obj
       712         51          0         88        436   m11430.obj
      3910        581          0        336       2836   m11440.obj
      1488         48          0        148        892   m11441.obj
      3278        828          0        152       1340   m11442.obj
       728          0          0         56        504   m11443.obj
       728        204          0         56        432   m11444.obj
       424          0          0         48        700   m11445.obj
       488          0          0         28        728   m11446.obj
       424          0          0         40        772   m11447.obj
      1978         19          0         72        936   m11448.obj
      1744          8          0        144       1312   m11450.obj
      1196        317          0         88       1112   m11451.obj
      1016          0          0         92        640   m11452.obj
      3302        127          0        224       1496   m11453.obj
       332         30          0         40        556   m11454.obj
        34          0          0          0        172   m11455.obj
