
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
        16          0          0          0         60   csm_main.obj
      2242          0          0          0       2264   csmcc_atfunc.obj
      8314          0          0          0       5744   csmcc_aux_msg_hdlr.obj
      6806          0          0          0       5848   csmcc_bc_func.obj
      1818          0          0          0       1044   csmcc_crss_proc.obj
      2424          0          0          0       1528   csmcc_facility_proc.obj
       524         17          0       1188        532   csmcc_init.obj
     12150          0          0          0       4196   csmcc_msg_hdlr.obj
      4942          0          0          0       3708   csmcc_utility.obj
     10458          8          0          0       3388   csmss_aux_msg_hdlr.obj
       104          0          0        492         68   csmss_init.obj
     14096          0          0          0       3388   csmss_msg_hdlr.obj
         0          0          0          0          0   csmss_reset.obj
       298         20          0          0        180   l4_create.obj
         0          0          0          0          0   l4_reset.obj
      2588        534          0          0       2956   l4c2tcm_func.obj
      4976          0          0          0       2924   l4c_cc_cmd.obj
      6212          0          0          0       2948   l4c_cc_msg.obj
      2296          0          0          0       1204   l4c_ciss_cmd.obj
      5342          0          0          0       1340   l4c_ciss_msg.obj
         0          0          0          0          0   l4c_cmd_ft.obj
       164          0          0          0         64   l4c_data_cmd.obj
         0          0          0          0          0   l4c_dt_msg.obj
       958        142         36          0       1128   l4c_em.obj
      6022          0          1         66       7064   l4c_eq_cmd.obj
      3306          0          0          0       2228   l4c_eq_msg.obj
         0        916          0          0          0   l4c_ft.obj
      2978          0          0          0       2704   l4c_gprs_cmd.obj
      3580          0          0          0       2048   l4c_gprs_msg.obj
       558          0          2        612        240   l4c_init.obj
      1392          0          0          0         76   l4c_main.obj
      2236          0          0          0       1268   l4c_msghdlr.obj
      2180          0          0          0       2564   l4c_nw_cmd.obj
      4138          0          0          0       1660   l4c_nw_msg.obj
      2332          0          0          0       2632   l4c_phb_cmd.obj
      1680          0          0          0       1252   l4c_phb_msg.obj
       702          0          0          0       1208   l4c_sat_msg.obj
      1544          0          0          0       1496   l4c_sendmsg.obj
      3506          0          0          0       3472   l4c_sim_cmd.obj
      4206          0          0          0       1424   l4c_sim_msg.obj
      6876          0          0          0       4576   l4c_sms_cmd.obj
      2180          0          0          0       2212   l4c_sms_msg.obj
      3504          0          0          0       1204   l4c_ss_parse.obj
         0       2497          0          0          0   l4c_table.obj
       970          0          0          0        684   l4c_tst.obj
      8772          0          0          0       5920   l4c_utility.obj
        44          0          0       1520         60   layer4_init.obj
         0       1443          0          0          0   mcd_table_l4.obj
      1158          0          0          0       1796   rac2_funcs.obj
      4046          0          0          0       1832   rac2_hdlrs.obj
       728          0          0        140        208   rac2_main.obj
      3842          3          0          0       3416   rac2_others.obj
      2772          0          0          0        904   rmmi_analyzer.obj
      4060         93          0          0       1148   rmmi_basic_val.obj
      2752          0          0          0       2584   rmmi_ind.obj
       694          0          0       4840        436   rmmi_init.obj
       304          0          0          0         60   rmmi_main.obj
      4670          0          0         40       1824   rmmi_msghdlr.obj
         0       2448          0          0          0   rmmi_parser.obj
       284          0          0          0        448   rmmi_root.obj
      4278          0          0          0       4928   rmmi_rsp.obj
      3952          0          0          0       1972   rmmi_rspfmttr.obj
       704          0          0          0       1288   rmmi_sio.obj
     14710        145          0          0       7556   rmmi_utility.obj
      1172        262          0          0        368   rmmi_validator.obj
      1188          0          0          0        560   rmmi_validator_cc.obj
      1060          0          0          0        288   rmmi_validator_ciss.obj
       520          0          0          0        144   rmmi_validator_data.obj
      4004          0          0          0       1356   rmmi_validator_em.obj
      3128         12          0          0       1024   rmmi_validator_eq.obj
         0        436          0          0          0   rmmi_validator_ft.obj
      2672          0          0          0        784   rmmi_validator_nw.obj
      2360          0          0          0        844   rmmi_validator_phb.obj
         0          0          0          0          0   rmmi_validator_phonesuite.obj
       212          0          0          0        140   rmmi_validator_sim.obj
      4612          0          0          0        868   rmmi_validator_sms.obj
      4720        133          0          0        800   rmmi_validator_tcm.obj
      8518         63          0          0       3368   smsal_cb.obj
      1576          0          0          0        840   smsal_checks.obj
       766          0          0          0        448   smsal_init.obj
      2668        226          0         30       2320   smsal_l4c_funcs.obj
      4742         44          0          0       2408   smsal_l4c_msgs.obj
       256          0          0          0        112   smsal_main.obj
      5134          0          0          0       2100   smsal_modi_peer_rest.obj
      2242          0          0          0       1120   smsal_msg_proc.obj
      1942          0          0          0       1876   smsal_other_funcs.obj
      3124          0          0          0       1360   smsal_parameter.obj
        64          0          0          0         60   smsal_reset.obj
      1940          0          0          0        912   smsal_sms.obj
      5844          0          0          0       2656   smsal_storage.obj
       540         12          0          0        632   smsal_timer.obj
      4760         96          0          0       2096   smsal_transport_proc.obj
       740          8          0       1358        756   smsal_utils.obj
     13372          0          0          8       4116   smu_handler.obj
       112          0          4        168         68   smu_init.obj
       332          0          0          0         68   smu_main.obj
         8          0          0          0        104   tcm_api.obj
      8378         12          0          0       2692   tcm_cntxt_data.obj
      3346          0          0          0       1820   tcm_cntxt_data_aux.obj
        38          0          0          0         60   tcm_cntxt_data_checks.obj
         0        252          0          0          0   tcm_cntxt_data_ft.obj
      5662        112          0          0       3352   tcm_common.obj
       176          0          4       1536         68   tcm_init.obj
       810          0          0          0        196   tcm_main.obj
       322          0          0          0        336   tcm_other.obj
       384          0          0          0        316   tcm_timer.obj
    301832       9934         47      11998     164340   TOTAL

