
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
     47204       1252         88          0      56109   l4a_callback.obj
      1348          0          0          0       2533   l4a_cmd.obj
       122          0          0          0        242   l4a_main.obj
       478          0          0          0        591   phb_common.obj
         0          0          0         27          0   phb_config.obj
       304          0          0       1092        250   phb_context.obj
       238          0          0          0        376   phb_control_block.obj
      2132          0          0          0       1640   phb_data_desc.obj
       518          0          0          0        509   phb_data_entry_table.obj
         0          0          0          0          0   phb_handler_approve.obj
      1024          0          0          0        319   phb_handler_delete.obj
       312          0          0          0        189   phb_handler_delete_ln.obj
      1528          0          0          0        400   phb_handler_read.obj
       376          0          0          0        189   phb_handler_read_ln.obj
       596          0          0          0        133   phb_handler_sat.obj
         0          0          0          0          0   phb_handler_search.obj
      4292          0        424         12       1229   phb_handler_startup.obj
       380          0          0          0        305   phb_handler_startup_ln.obj
       944          0          0          0        338   phb_handler_write.obj
       404          0          0          0        248   phb_handler_write_ln.obj
       124          0          0          0         74   phb_ilm.obj
       682          0          0          0        309   phb_main.obj
      3918          0          0          0       2306   phb_name_num_index.obj
         0          0          0          0          0   phb_nvram_access.obj
       654          0          0          0        628   phb_pindex.obj
       962         71          0         32        667   phb_sap.obj
      3132          0          8        512       1588   phb_se.obj
      4578          0          0          0       1568   phb_sim_access.obj
      2500        296          0          0       1912   phb_utils.obj
       280          0          0         30        437   uem_at_cmd.obj
      1124          0          3         16        883   uem_gpio_ctrl.obj
      1216          0          0        520        491   uem_main.obj
      1888          0          1          4       2040   uem_msg_hdlr.obj
      3322          0          0          5       3000   uem_proc_cmd.obj
      1692          0          0          0       1181   uem_proc_msg.obj
      3776         46          0         44       4097   uem_utility.obj
     92048       1665        524       2294      86781   TOTAL

