
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       472          0          0          0        288   cipher_api.obj
      1996          0          0          0        776   llc_abm.obj
      1088          0          0          0        516   llc_abm_sapi.obj
       764          0          0          0        276   llc_arq.obj
      1748          0          0          0        428   llc_arqrx.obj
      2910          0          0          0        992   llc_arqtx.obj
      1960          0          0          0        568   llc_cipherrsp.obj
         0          0          0          0          0   llc_config.obj
      1636         13          0          0        632   llc_construct.obj
        84         20          0          0        116   llc_create.obj
        92          0          0          0         64   llc_deinit.obj
       282          0          0          0        432   llc_flowctrl.obj
       220          0          0       1380        128   llc_init.obj
       948          0          0          0        596   llc_lcdiplqueue.obj
      2182          0          0          0        852   llc_llerx.obj
      1032          0          0          0        460   llc_lletx.obj
      1720          2          0          0        600   llc_llme.obj
       300          0          0          0         60   llc_main.obj
      1006          0          0          0        292   llc_mux.obj
      2028          2          0          0        896   llc_other_funcs.obj
         0          0          0          0          0   llc_reset.obj
      1388          0          0          0        656   llc_timer.obj
      1088          0          0          0        212   llc_unackmode.obj
      6914         48          1          0       2604   llc_xid.obj
     31858         85          1       1380      12444   TOTAL

