
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       110          0          0          0         68   mcd_alloc.obj
      1026          0          0          0        600   mcd_bits.obj
       484          0          0          0         76   mcd_iei.obj
        64          0          0         41         60   mcd_init.obj
       718          0          8         10        612   mcd_mem.obj
         4          0          0          0         52   mcd_op_BREAK.obj
        12          0          0          0         52   mcd_op_END.obj
        12          0          0          0         52   mcd_op_ENDCHOICE.obj
         4          0          0          0         52   mcd_op_IGNORE.obj
       218        156          0          0        144   mcd_pack.obj
       176          0          0          0         76   mcd_pack_ARRAYSTRUCT.obj
         4          0          0          0         52   mcd_pack_BACKWARD.obj
        64          0          0          0         64   mcd_pack_BER_ANY.obj
        70          0          0          0         64   mcd_pack_BER_BOOLEAN.obj
        70          0          0          0         64   mcd_pack_BER_BYTES.obj
       208          0          0          0         76   mcd_pack_BER_CASE.obj
        92          0          0          0         68   mcd_pack_BER_CASE_TRY.obj
       136          0          0          0         64   mcd_pack_BER_ENUM.obj
       236          0          0          0         76   mcd_pack_BER_IF.obj
        98          0          0          0         64   mcd_pack_BER_INTEGER.obj
       120          0          0          0         68   mcd_pack_BER_MAXBYTES.obj
       100          0          0          0         68   mcd_pack_BER_MAXIA5STRING.obj
       304          0          0          0         76   mcd_pack_BER_MAXSTRUCT.obj
        34          0          0          0         60   mcd_pack_BER_NULL.obj
       110          0          0          0         68   mcd_pack_BER_NUMSTRING.obj
        92          0          0          0         68   mcd_pack_BER_OID.obj
        68          0          0          0         64   mcd_pack_BER_OPTIONAL.obj
       220          0          0          0         76   mcd_pack_BER_SEQUENCE.obj
       190          0          0          0         76   mcd_pack_BER_SET.obj
       124          0          0          0         68   mcd_pack_BER_TAG.obj
        52          0          0          0         64   mcd_pack_BITS.obj
        68          0          0          0         68   mcd_pack_BITS_ARRAY.obj
        44          0          0          0         64   mcd_pack_BYTES.obj
       108          0          0          0         68   mcd_pack_BYTES16.obj
       108          0          0          0         68   mcd_pack_CALL.obj
       200          0          0          0         68   mcd_pack_CASE.obj
       120          0          0          0         76   mcd_pack_CHOICE.obj
        80          0          0          0         68   mcd_pack_CSN_TAG.obj
       128          0          0          0         68   mcd_pack_EXT_TI.obj
        24          0          0          0         60   mcd_pack_IEI_LIST.obj
       156          0          0          0         68   mcd_pack_IF.obj
       136          0          0          0         76   mcd_pack_INFINITE_CALL.obj
        88          0          0          0         68   mcd_pack_MAXBITS.obj
       128          0          0          0         68   mcd_pack_MAXBYTES.obj
       140          0          0          0         68   mcd_pack_MAXBYTES16.obj
       276          0          0          0         76   mcd_pack_MAXSTRUCT.obj
        46          0          0          0         60   mcd_pack_PADDING_BITS.obj
        84          0          0          0         68   mcd_pack_REFCALL.obj
        66          0          0          0         64   mcd_pack_SPARE_BITS.obj
         0       4431          0          0          0   mcd_table.obj
       320        156          0          0        144   mcd_unpack.obj
       244          0          0          0         76   mcd_unpack_ARRAYSTRUCT.obj
        10          0          0          0         52   mcd_unpack_BACKWARD.obj
       276          0          0          0         68   mcd_unpack_BER_ANY.obj
        82          0          0          0         68   mcd_unpack_BER_BOOLEAN.obj
       134          0          0          0         68   mcd_unpack_BER_BYTES.obj
       312          0          0          0         76   mcd_unpack_BER_CASE.obj
       132          0          0          0         68   mcd_unpack_BER_CASE_TRY.obj
       104          0          0          0         68   mcd_unpack_BER_ENUM.obj
       468          0          0          0         76   mcd_unpack_BER_IF.obj
        80          0          0          0         68   mcd_unpack_BER_INTEGER.obj
       508          0          0          0         76   mcd_unpack_BER_MAXBYTES.obj
       392          0          0          0         76   mcd_unpack_BER_MAXIA5STRING.obj
       456          0          0          0         72   mcd_unpack_BER_MAXSTRUCT.obj
        42          0          0          0         64   mcd_unpack_BER_NULL.obj
       148          0          0          0         68   mcd_unpack_BER_NUMSTRING.obj
       208          0          0          0         76   mcd_unpack_BER_OID.obj
       168          0          0          0         76   mcd_unpack_BER_OPTIONAL.obj
       236          0          0          0         68   mcd_unpack_BER_SEQUENCE.obj
       104          0          0          0         68   mcd_unpack_BER_SET.obj
        72          0          0          0         64   mcd_unpack_BER_TAG.obj
       100          0          0          0         64   mcd_unpack_BITS.obj
        78          0          0          0         68   mcd_unpack_BITS_ARRAY.obj
       112          0          0          0         68   mcd_unpack_BYTES.obj
       152          0          0          0         68   mcd_unpack_BYTES16.obj
       160          0          0          0         68   mcd_unpack_CALL.obj
       332          0          0          0         76   mcd_unpack_CASE.obj
       104          0          0          0         68   mcd_unpack_CHOICE.obj
       104          0          0          0         68   mcd_unpack_CSN_TAG.obj
       232          0          0          0         76   mcd_unpack_EXT_TI.obj
        64          0          0          0         64   mcd_unpack_IEI_LIST.obj
       444          0          0          0         76   mcd_unpack_IF.obj
       268          0          0          0         76   mcd_unpack_INFINITE_CALL.obj
       102          0          0          0         68   mcd_unpack_MAXBITS.obj
       368          0          0          0         76   mcd_unpack_MAXBYTES.obj
       260          0          0          0         76   mcd_unpack_MAXBYTES16.obj
       384          0          0          0         76   mcd_unpack_MAXSTRUCT.obj
        36          0          0          0         60   mcd_unpack_PADDING_BITS.obj
       112          0          0          0         68   mcd_unpack_REFCALL.obj
        72          0          0          0         64   mcd_unpack_SPARE_BITS.obj
     15200       4743          8         51       7284   TOTAL

