
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       864        171          0          0        140   ape_parser.obj
      2648          2          0         20       4877   aud_api.obj
      2784          0          4          4       1811   aud_audio.obj
        10          0          0          0        208   aud_bt_a2dp.obj
      1498          0          0         48       1000   aud_build_cache.obj
      3088        156          0          0        694   aud_daf_parser.obj
       382          0          0          0        822   aud_fmradio.obj
      2184       1401        664        648       1107   aud_id3_parser.obj
      4454          0          0          0       6015   aud_ilm.obj
       556          0          0         48        558   aud_input_stream.obj
       152          0          0          0        246   aud_keytone.obj
      1236          0          4          0        310   aud_main.obj
      4822          0          2      32800       2576   aud_media.obj
       360          0          0          1        418   aud_melody.obj
      4444          0          0        160       2468   aud_mma.obj
      1868          0          0          0        829   aud_player_media.obj
      2364          0          0          0        786   aud_player_mma.obj
         4          0          0          0         52   aud_player_mpl.obj
       164          0          0          0        347   aud_post_process.obj
      1068          0          0          1        916   aud_record.obj
      2744         37          0          8       1467   aud_recorder_media.obj
       684          0          0          0       1004   aud_speech.obj
       192          3          0          0        353   aud_tone.obj
      1162          0          4          4       1281   aud_utility.obj
      2032          0          4         12        907   bitstream_audio.obj
      1200          0          0          0       1054   bitstream_ilm.obj
       204          0          4          8        118   bitstream_main.obj
      1268          0          0         32        566   bitstream_record.obj
      1486          0         80        240       1810   bytestream_hw.obj
       664          0          0          4       1821   cam_api.obj
      1784          0          0          0       2569   cam_ilm.obj
       380          0          4          0        233   cam_main.obj
      8596          3          0          8       5746   cam_msg_handler.obj
         0          0          0          0          0   id3_v1_parser.obj
      3314        255          0          0        620   id3_v2_parser.obj
         0          0          0          0          0   img_api.obj
         0          0          0          0          0   img_ilm.obj
         0          0          0          0          0   img_main.obj
         0          0          0          0          0   img_msg_handler.obj
      4260         16          0          4       1213   lyrics_parser.obj
       128          0          0          0        299   med_api.obj
      1208          0          0         32       1014   med_ext_smalloc.obj
         0          0          0          0          0   med_ilm.obj
         0          0          0          0          0   med_int_smalloc.obj
       756         20          4     690188        638   med_main.obj
      3148       1024          0        172       2158   med_utility.obj
       326         20          4         12        441   med_v_main.obj
      3666         44         24          8       1740   meta_tag_api.obj
       218         25         24          0        221   meta_tag_parser.obj
      2474          7          0          4       2620   vid_api.obj
         0          0          0          0          0   vid_clipper_msg_handler.obj
       382          0          0          0        418   vid_ilm.obj
       796          0          4          0        235   vid_main.obj
      3254          0          8         16       2235   vid_msg_handler.obj
         0          0          0          0          0   vid_msg_handler_modis.obj
      5134          0          0        132       1413   vid_recorder_msg_handler.obj
         0          0          0          0          0   webcam_api.obj
         0          0          0          0          0   webcam_ilm.obj
         0          0          0          0          0   webcam_main.obj
         0          0          0          0          0   webcam_msg_handler.obj
     86410       3184        838     724614      60374   TOTAL

