
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   CamcorderCui.obj
       134          0          0          0        468   CameraCui.obj
         0          0          0          0          0   ImageClipCui.obj
         0          0          0          0          0   ImageClipCuiOSD.obj
      1118          0          2          0        771   ImgViewUtil.obj
      1806          0          0       1156       1539   ImgViewer.obj
         0          0          0          0          0   ImgViewerCacheAdp.obj
         0          0          0          0          0   ImgViewerCacheDB.obj
         0          0          0          0          0   ImgViewerCacheInfc.obj
         0          0          0          0          0   ImgViewerCacheMgr.obj
         0         48          0          0          0   ImgViewerSkin.obj
      1218          0          0        812       1435   ImgviewCui.obj
      8214         96          0         16       4436   ImgviewCuiScrn.obj
         0          0          0          0          0   JavaAgencyEMPerformance.obj
         0          0          0          0          0   JavaAgencyManager.obj
         0          0          0          0          0   JavaAgencyNCenter.obj
         0          0          0          0          0   JavaAgencyNetworkProfile.obj
         0          0          0          0          0   JavaAgencySettings.obj
      5068          0          0          4       2951   MOTApp.obj
       792         40          0          0       1083   MediaAppFrame.obj
      1234          0          0          0       1427   MediaAppPanel.obj
         0          0          0          0          0   MediaPlayerMain.obj
         0          0          0          0          0   MediaPlayerMsgHandler.obj
         0          0          0          0          0   MediaPlayerSingleApp.obj
       698          0          0         20        598   audioplayersingleplayer.obj
       380          0          0          0        242   audioplayerutil.obj
         0          0          0          0          0   avatar.obj
     15406        624          1        732       7591   cameraapp.obj
      1212        278          0        798       1158   cameramenu.obj
         0          0          0          0          0   fmschedulerec.obj
         0          0          0          0          0   fmschedulerecmsghdlr.obj
         0          0          0          0          0   fmschedulerecscreen.obj
         0          0          0          0          0   fmschedulerecsetting.obj
       212          0          0          0        183   funandgamessrc.obj
         0          0          0          0          0   javaagencyem.obj
         0          0          0          0          0   javaagencymidsinstall.obj
         0          0          0          0          0   javaagencysrc.obj
         0          0          0          0          0   javaagencytaskswitch.obj
         0          0          0          0          0   javaagencytimealarm.obj
         0          0          0          0          0   javaagencyutil.obj
         0          0          0          0          0   javagame.obj
         0          0          0          0          0   pictureeditor.obj
         0          0          0          0          0   pictureeditorengine.obj
         0          0          0          0          0   pictureeditorhandler.obj
      4388          0          0        464       1863   sndrecdraw.obj
      3592          0          0         12       1304   sndrecmsg.obj
      8408        126          0        620       5423   sndrecui.obj
      1048          0          0         20        984   sndrecutil.obj
         0          0          0          0          0   soundrecordermsghandler.obj
         0          0          0          0          0   soundrecordersrc.obj
         0          0          0          0          0   swflashdlsrc.obj
         0          0          0          0          0   swflashplayer.obj
       376          0          0          4        366   vdoplyapp.obj
     55304       1212          3       4658      33822   TOTAL

