
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      2492          0          0         68       1777   AlarmSrv.obj
      1658         11         24        144       1868   AppMgrSrv.obj
         0          0          0          0          0   BgSoundSrvUtils.obj
       310          0          0         12        568   BootupSrv.obj
        10          0          0          0        156   BootupSrvCancelVeri.obj
       640          0          0         16        653   BootupSrvProtocol.obj
      1398          0          0         32        890   BootupSrvSecurity.obj
        16          0          0          0        208   BtAudioSrv.obj
      1020          0          0       1520        620   CBSMainSrv.obj
      4848          2          0          0       2167   CBSSettingSrv.obj
      4536          3          0          8       2367   CBSStorageSrv.obj
      1416          0          0          0       1007   CallLogSrvAtCmd.obj
      2238          0          0          4       1198   CallLogSrvCallCost.obj
       556          0          0          0        337   CallLogSrvCallTime.obj
      1276         20          0          0       1822   CallLogSrvComp.obj
       874          0          0          4        538   CallLogSrvGprsCount.obj
      3522          4          0          0       2509   CallLogSrvIdxTbl.obj
      2088          0          0          0       1504   CallLogSrvIf.obj
      4100         52          0          0       2132   CallLogSrvJobHdlr.obj
       724          0          0          4       1064   CallLogSrvMain.obj
      2018          4          0          0        753   CallLogSrvPhbSync.obj
      1660         14          0          0       1154   CallLogSrvPsAdp.obj
      2246          0          0          0       1867   CallLogSrvSiTbl.obj
      4396          6          0          8       2374   CallLogSrvSimSync.obj
       184          0          0          0        348   CallLogSrvStore.obj
      1318         90          0       4332       1786   CallLogSrvUtils.obj
      1520         12          0          0       1123   CallSetSrvInterface.obj
      6780         10          4       2140       4058   CallSetSrvStructMgmt.obj
       260         24          0          0        292   CallSetSrvUtil.obj
       462          0          0          0        797   CbmSrvInterface.obj
       466          4          0        228        319   CbmSrvMain.obj
       680          0          0          0        624   CbmSrvMsgHdlr.obj
         0          0          0          0          0   CbmSrvWlanPrefer.obj
        36         82          8          0        208   CcaSrvConfig.obj
       204          0          0          0        295   CcaSrvDispatcher.obj
         0          0          0          0          0   CcaSrvDm.obj
      4476          0          0          0       6121   CcaSrvDoc.obj
      4748          4          0        180       3292   CcaSrvMain.obj
      5944          3          0          4       3198   CcaSrvOma.obj
         0          0          0          0          0   CcaSrvProvBox.obj
         0          0          0          0          0   CcaSrvSpa.obj
       630          0          0       6152        775   CcaSrvUtils.obj
      1160         28          6          4       1183   CharBatSrv.obj
      8418          4          0        880       3107   CnmgrSrvMain.obj
       498          0          0         12        490   CphsSrv.obj
      1270        268          0          8       1039   DLAgentSrvConfig.obj
      1654          0          0          8        999   DLAgentSrvDRM.obj
         0          0          0          0          0   DLAgentSrvHttp.obj
      3802         56          0          8       1728   DLAgentSrvHttpDL.obj
      7684         11         20        592       9906   DLAgentSrvInterface.obj
         0          0          0          0          0   DLAgentSrvMRE.obj
        72          0          0          0        122   DLAgentSrvMsgHdlr.obj
      6790         56          4         20       4184   DLAgentSrvOMA.obj
      1140        678          0         16        753   DLAgentSrvOMAUtil.obj
      4542          0          0        164       2431   DLAgentSrvPush.obj
      4408         34          0         72       3334   DLAgentSrvUtil.obj
      5246          0          8        104       2848   DLAgentSrvWPS.obj
         0          0          0          0          0   DataLockSrv.obj
