
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          1          0   ABMLoader.obj
         0          0          0          0          0   CompressResUtil.obj
         0        162          2          0          0   CustAdoMap.obj
         0         58          2          0          0   CustAdoMapExt.obj
         0       7966          0          0          0   CustAdoRes.obj
         0    1190032          0          0          0   CustAdoResExt.obj
         0         10          2          0          0   CustBinaryMap.obj
         0         39          0          0          0   CustBinaryRes.obj
        40       7442          0          0        312   CustCoordinates.obj
         0         12          0          0          0   CustENFBImgMap.obj
         0          4          0          8          0   CustFontMapExt.obj
         0         22          0          0          0   CustFontResExt.obj
         0     125395          0          0          0   CustImgDataRes_0.obj
         0     153999          0          0          0   CustImgDataRes_1.obj
         0     146341          0          0          0   CustImgDataRes_2.obj
         0     147155          0          0          0   CustImgDataRes_3.obj
         0          0          0          0          0   CustImgGroup3rdROMMap.obj
         0          0          0          0          0   CustImgGroup3rdROMRes.obj
         0          0          0          0          0   CustImgGroupDataRes_0.obj
         0          0          0          0          0   CustImgGroupDataRes_1.obj
         0          0          0          0          0   CustImgGroupDataRes_2.obj
         0          0          0          0          0   CustImgGroupDataRes_3.obj
         0          0          0          0          0   CustImgGroupMap.obj
         0          0          0          0          0   CustImgGroupRes.obj
         0          0          0          0          0   CustImgGroupSingleData3rdROMRes.obj
         0          0          0          0          0   CustImgGroupSingleDataRes.obj
         0       2170          2          0          0   CustImgMap.obj
         0         38          2          0          0   CustImgMapExt.obj
         0       3174          0          0          0   CustImgRes.obj
         0     189384          0          0          0   CustImgResExt.obj
         0      21314          2        290          0   CustMenuRes.obj
        64          3          0          0        165   CustMiscData.obj
         0      13408          0          0          0   CustStrMap.obj
         0          0          0          0          0   CustStrMapComp.obj
         0     118056          0          0          0   CustStrRes.obj
         0          0          0          0          0   CustStrResComp.obj
         0          0          0          0          0   CustStrSearchComp.obj
         0          8          0          0          0   CustVenusAppIconData.obj
         0          8          0          0          0   CustVenusThemeData.obj
         0     687195          0          0          0   FontData.obj
         0      59840         30          0          0   FontRes.obj
         0          0         88          0          0   FontType.obj
         0        226          0          0          0   IMERes.obj
        16          0         20    2126720        104   MemoryRes.obj
         0          0          0          0          0   OTFRes.obj
       134          0          0          0       1716   ReadThemeRes.obj
         0          0          0          0          0   ResCache.obj
         0          0          0          0          0   ResCacheUtil.obj
         0          0          0          0          0   ResThirdROMUtil.obj
       464          1          0        120        137   StandaloneRes.obj
         0      12925          0          0          0   ThemeRes.obj
         0          0         16          0          0   gui_wrapper.obj
      2776       3904          0          0        369   mmi_cache_table.obj
         4        924          0          0         52   mmi_rp_app_data.obj
         0       3192       4644          0          0   mmi_rp_callback_mgr_table.obj
         0       1488          0          0          0   mmi_rp_file_type_table.obj
         0          0          0          4          0   mmi_rp_img_misc_data.obj
         0        290         12          0          0   mmi_rp_menu_misc_data.obj
         4        264          0          0         52   mmi_rp_menu_shortcut_data.obj
         4         76          0          0         52   mmi_rp_native_app_package_data.obj
       216     210993          0         56        115   populateres.obj
         0          0          0          0          0   qwerty_lang_res.obj
      6712       1067          2        148       5406   readres.obj
         0          0          0          0          0   resource_abrepeat_skins.obj
         0          0          0          0          0   resource_aud_eq_values.obj
         0          0          0          0          0   resource_audply_skins.obj
         0          0          0          0          0   resource_audply_sub_skins.obj
         0          0          8          0          0   resource_autogen_audio_jtbl.obj
         0          0          0          0          0   resource_barcodereader_skins.obj
         0          0          0          0          0   resource_bcr_skins.obj
         0         36          0          0          0   resource_calc_coordinates.obj
         0          0          0          0          0   resource_camcorder_skins.obj
         0       5474          0          0          0   resource_camera_skins.obj
         0          0          0          0          0   resource_ecompass.obj
         0          0          0          0          0   resource_fmradio_skins.obj
         0          0          0          0          0   resource_fmradio_sub_skins.obj
         0          0          0          0          0   resource_fmschedulerec_skins.obj
         0          0          8          0          0   resource_image_jtbl.obj
         0          0         68          0          0   resource_lang_pack_jtbl.obj
         0          0          0          0          0   resource_langln_lk_skins.obj
         0          0          0          0          0   resource_mediaplayer_skins.obj
         0         11          0          0          0   resource_shortcuts.obj
         0        142          0          0          0   resource_sndrec_skins.obj
         0          0          0          0          0   resource_video_skins.obj
         0          0          0          0          0   resource_vt_skins.obj
         8       1272          0          0        104   resource_world_clock_city.obj
     10442    3115520       4908    2127347       8584   TOTAL

