
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      2242          0          0          0       1402   elfldr.obj
      1318          0          0          0        664   httputil.obj
         0          0          0          0          0   vmadpui.obj
       884          0          0          0        444   vmalarm.obj
       640          0          4        408        681   vmappcomm.obj
         0          0          0          0          0   vmautostart.obj
      1044          0          4         16       1283   vmbitstream.obj
        24          0          0          0         59   vmbtcm.obj
        24          0          0          0         59   vmbtspp.obj
       386          0          0          4        658   vmcell.obj
       408          0          0         12        264   vmcerenv.obj
      1318          0          0         20        590   vmcermng.obj
       528          0          0         16        258   vmcervar.obj
       456          0        224          0        737   vmche.obj
       358          0          0          0        251   vmcmd.obj
      1756         20          4          4       1313   vmcontact.obj
         0          0          0          0          0   vmcppadp.obj
         0          0          0          0          0   vmcuifdb.obj
         0          0          0          0          0   vmcuifdst.obj
      1000          0          0          0        631   vmda.obj
      9758         25          0         20       3765   vmddraw.obj
       500          0          0          8        277   vmdes.obj
      1286          0         28         24       1612   vmenv.obj
       824          0          4         84        806   vmfrm.obj
      2176          0          0        120       1089   vmgettag.obj
      2270          0          0         22       2138   vmgfxold.obj
         0          0          0          0          0   vmgps.obj
     22302         27         16       1340      12679   vmgraph.obj
     12444         88          8          4       2652   vmhttp.obj
       458          0          0          0       1019   vmhttps.obj
         0          0          0          0          0   vminifile.obj
     12786        140         48        396       8648   vmio.obj
         0          0          0          0          0   vmjava.obj
        16          0          0          0        208   vmkuro.obj
      6214        492          0          4       1837   vmloader.obj
       300          0          0          4        320   vmlog.obj
       488          0          0          0        458   vmmd5.obj
      4134          0         16        528       4023   vmmm.obj
      2086          0          0          4       1478   vmmms.obj
       336          0        108        904        363   vmmod.obj
       424          0          0          4        424   vmmullang.obj
        70          0          0          0        170   vmncenter.obj
      1948       5672          4          4       1465   vmnvram.obj
       982          0          0          0        704   vmnvramadapter.obj
         0       5272          0          0          0   vmnvramval.obj
         0          0          0          0          0   vmoptions.obj
         0          0          0          0          0   vmpayment.obj
       964          0          0          8        605   vmpermng.obj
         0       3832       3872          4          0   vmpervar.obj
      2740          0          0          0        778   vmpn.obj
      4694        186          8         12       1530   vmpreload.obj
      8152         80         12        380       5767   vmpromng.obj
      6244         36          0          0       3842   vmres.obj
      2076          0          0        248       1920   vmresmng.obj
       504          0          0         40        486   vmrsa.obj
         0          0          0          0          0   vmsalbitstream.obj
       284          0          0         32        416   vmsalcell.obj
      1210          0          0        808       1096   vmsalcontact.obj
         0          0          0          0          0   vmsalgps.obj
      1488          0          0          4       1034   vmsalmm.obj
       112          0          0         24        222   vmsalmms.obj
      1470         16          0       1150        918   vmsalsms.obj
      1636         12          0          0        765   vmsalui.obj
         4          0          0          0         52   vmsensor.obj
         0          0          0          0          0   vmsha1.obj
       184          0          0          0        187   vmshortcut.obj
      2628          0          0          4       1394   vmsm.obj
      2958          0          4          4       1439   vmsms.obj
      1530         32          0          0        554   vmso.obj
     11750          2          4         40       4266   vmsock.obj
       610          0          0          0        498   vmsrvmng.obj
         0          0          0          0          0   vmsso.obj
       780          0          0         80        547   vmstack.obj
      1984        174        264          4       2299   vmstatusbar.obj
      2562         70        112          0       2534   vmstdlib.obj
     12802        336         40      62400       7898   vmsys.obj
      2286          0          0        222       1025   vmtel.obj
         4          0          0          0         52   vmtheme.obj
       894          0          0          8        979   vmtimer.obj
         0          0          0          0          0   vmtls.obj
       124          0          0          0        124   vmtlv.obj
       126          0          0          0        302   vmuart.obj
      2718         16          0       1024       2028   vmvideo.obj
         0          0          0          0          0   vmvip.obj
         0          0          0          0          0   vmwin32.obj
      6790          0          0        292       2197   vmwps.obj
       844          0          4        400        710   vmxml.obj
    177340      16528       4788      71138     103893   TOTAL

