
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       668         43          0          0        192   aaa_fsm.obj
     10824       1029         48          0       2928   ais_fsm.obj
      3812        358        108          0       1008   assoc.obj
      2546        155         16          0        840   auth.obj
      5000        621        168          0       1448   bss.obj
       456          0          0          0        204   cmd_buf.obj
      1294         50          0          0        716   cnm.obj
      2816         35          0          0       1140   cnm_mem.obj
      1398         77          0          0        596   cnm_timer.obj
      2148        483          0          0        148   dump.obj
       108          0          4          5         64   gl_hpi.obj
      5346         95          0      36368       3808   gl_kal.obj
       692          0          0          0       1236   gl_rftest.obj
       888        559        288          0        516   hem_mbox.obj
         0          0          0          0          0   hif_emu.obj
         0         52          0          0          0   mib.obj
        24     139328          0          8         52   mt5931_firmware.obj
      9828         34         48       7520       3564   nic.obj
      3232          0          0          0       1900   nic_cmd_event.obj
       556          0          0          0        260   nic_pwr_mgt.obj
      5632         18         64          0       1664   nic_rx.obj
      5172         90          4          4       1420   nic_tx.obj
      2146        226          0          0        896   privacy.obj
     10902         33          0          0       3060   que_mgt.obj
       422         30          0          0        268   rate.obj
      3818         43          0          0       1424   rlm.obj
       744        141        660          0        284   rlm_domain.obj
      1312         54          0          0        324   rlm_obss.obj
         0          0          0          0          0   rlm_protection.obj
      1724        324         16          0        704   roaming_fsm.obj
      9518        959          0          0       1392   rsn.obj
      3208        549         44         16        760   saa_fsm.obj
      6702        514          0          0       1352   scan.obj
      1668         91          8          0        476   scan_fsm.obj
      4324        651         28          0       1120   sec_fsm.obj
       936        384          0          0        140   sms4.obj
      3460         81          0         28        780   swcr.obj
         0          0          0          0          0   wapi.obj
         0          0          0          0          0   wlan_bow.obj
       170          0          0          0        200   wlan_kal.obj
     15938       1354        124      35592       4064   wlan_lib.obj
     32368       2663          0          4       7360   wlan_oid.obj
      1076         20          0       1054        192   wndrv_create.obj
      3354        124          4          2       1128   wndrv_inject_msg.obj
       412         76          0          0         68   wndrv_main.obj
      2432          0          0       2002       1208   wndrv_misc.obj
      6558         99        192          8       3368   wndrv_rftest_func.obj
      8788         28         12         20       2744   wndrv_supc_func.obj
    184420     151471       1836      82631      57016   TOTAL

