
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   bam_cmn.obj
         0          0          0          0          0   bam_do_elem.obj
         0          0          0          0          0   bam_env.obj
         0          0          0          0          0   bam_file.obj
         0          0          0          0          0   bam_hist.obj
        26          0          0          0        520   bam_if.obj
         0          0          0          0          0   bam_main.obj
         0          0          0          0          0   bam_msg.obj
         0          0          0          0          0   bam_offline.obj
         0          0          0          0          0   bam_pipe.obj
        94          0          0          0        884   bam_registry.obj
         0          0          0          0          0   bam_req.obj
         0          0          0          0          0   bam_resource.obj
         0          0          0          0          0   bam_shortcuts.obj
        56          0          0          0        364   bam_sif.obj
         0          0          0          0          0   bam_sig.obj
         0          0          0          0          0   bam_win.obj
         0          0          0          0          0   das_env.obj
         0          0          0          0          0   das_main.obj
         0          0          0          0          0   das_msg.obj
         0          0          0          0          0   das_view.obj
      8894          0          0         16       5101   mobile_suite_app.obj
         0          0          0          0          0   msf_file.obj
         0          0          0          0          0   msf_int.obj
         0          0          0          0          0   msf_misc.obj
         0          0          0          0          0   msf_nw_acc.obj
         0          0          0          0          0   msf_pipe.obj
         0          0          0          0          0   msf_signal.obj
         0          0          0          0          0   msf_socket.obj
         0          0          0          0          0   msm_int.obj
      1692          0          0          0        471   wap_cmmn_utils.obj
      1052         48          0          0        552   wap_cmn.obj
      2662         20          4        148       1639   wap_create.obj
        60          0          0          4        177   wap_mem.obj
         4          0          0          0         52   wap_um.obj
       336          0          0          6        574   wapadp.obj
      3464         50          0        168       2366   widget.obj
       536          0          0          0        724   widget_action.obj
         0          0          0          0          0   widget_ctk.obj
       522          0          0          0        339   widget_dialog.obj
      5880          7          0          0       1527   widget_drawing.obj
       172          0          0          0         72   widget_editor.obj
      1960         16          0          0       3514   widget_encoding.obj
      2122          8          0         64        858   widget_font.obj
       702          2          0          0        434   widget_form.obj
       824          0          0          0        712   widget_gadget.obj
      2298          0          0          0       1648   widget_general.obj
       104          0          0          0         65   widget_icon.obj
      6928        349          0         20       3188   widget_image.obj
      1070          0          0          0        483   widget_key_handler.obj
       392          0          0          0         84   widget_layout.obj
       660          0          0          0        441   widget_menu.obj
       644         35          0          0        256   widget_msg_hdr.obj
      4006          0          4         56       1936   widget_paint.obj
       284          0          0          0         74   widget_paint_action.obj
       416          0          0          0        137   widget_paint_dialog.obj
        72          0          0          0         61   widget_paint_editor.obj
       392          0          0          0         75   widget_paint_gadget_bar.obj
      3882          0          0          0       1278   widget_paint_gadget_image.obj
      1408          0          0        242        413   widget_paint_gadget_input.obj
         0          0          0          0          0   widget_paint_gadget_string.obj
      4392         68          0          0        910   widget_paint_menu.obj
        84          0          0          0        123   widget_paintbox.obj
       268          0          0          0        245   widget_screen.obj
        58          0          0          0        118   widget_sound.obj
       842          2          0          0        972   widget_string.obj
       876         12          0        116        980   widget_style.obj
         0          0          0          0          0   widget_test.obj
       464          0          0          0        313   widget_text.obj
       162          0          0          0        280   widget_window.obj
         0          0          0          4          0   widget_winsocket.obj
     60760        617          8        844      34960   TOTAL

