
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      5738        280          0         36       2732   brs_cssm.obj
      5184       6938          0          4       1672   brs_cssp.obj
      3410        530          0          0        880   brs_cssv.obj
       680          0          0          0        664   brs_datr.obj
      1960          0          0          0       2148   brs_ddt.obj
      3776          9          0          0       2448   brs_dfcf.obj
      1016          9          0          0        148   brs_dhtm.obj
         0          0          0          0          0   brs_dimf.obj
       774          0          0          0       1136   brs_dleh.obj
      8790          0          0         20       4468   brs_dmsh.obj
      2256          0          0          0       1300   brs_dwi.obj
      2760          9          0          0       1144   brs_dwml.obj
      1240          0          0          4        364   brs_env.obj
         0       9609          0          0          0   brs_hdef.obj
       524          0          0          0        684   brs_hist.obj
       948          0          0          0        380   brs_html.obj
      2596       1510          0          4       1036   brs_hvld.obj
       486          0          0          0        832   brs_if.obj
         0          0          0          0          0   brs_l2wn.obj
      3652          0          0          0       1160   brs_l4wn.obj
       702          0          0          0        876   brs_lbxt.obj
       188        850          0          0         76   brs_lccn.obj
      2552         12          0         44       1644   brs_lcli.obj
      3208          0          0          0       1016   brs_lcpr.obj
      7430        311          0          4       2928   brs_lcss.obj
       862          0         60          0        792   brs_lctl.obj
      6512          0          0          0       2180   brs_ldrw.obj
      3382          0          0         20       2104   brs_levt.obj
      6266          3          0         16       2704   brs_lfrm.obj
      5100         32          0          0       2036   brs_limg.obj
      3566          0          0          4       2024   brs_lmn.obj
      3294          0          0          0       1740   brs_lnav.obj
      1678          0          0          0        148   brs_lpnn.obj
      5432          0          4          4       2364   brs_lrct.obj
        80          0          0          0        172   brs_lrec.obj
      1898          0          0          0        820   brs_lrfl.obj
      6188          0          0          4       2844   brs_lrnd.obj
       858          0          0          0        388   brs_lsbr.obj
     10830          0          0          0       3788   brs_ltbl.obj
      2176          0          0          8       1000   brs_ltxt.obj
      3144          0          0          0       2260   brs_lutl.obj
      7008        292          4       1184       4808   brs_main.obj
       512          0          0          0        720   brs_memp.obj
         0          0          0          0          0   brs_plh.obj
      1068          0          0         40        528   brs_prh.obj
         0          0          0          0          0   brs_sibp.obj
      1056        136          0         95        544   brs_sicr.obj
         0          0          0          0          0   brs_sifl.obj
         0          0          0          0          0   brs_sifr.obj
         0          0          0          0          0   brs_sifs.obj
       388          0          0         96        516   brs_sig.obj
         0          0          0          0          0   brs_siin.obj
         0          0          0          0          0   brs_siit.obj
         0          0          0          0          0   brs_sili.obj
         0          0          0          0          0   brs_silt.obj
         0          0          0          0          0   brs_sima.obj
         0          0          0          0          0   brs_simi.obj
         0          0          0          0          0   brs_siop.obj
         0          0          0          0          0   brs_sire.obj
         0          0          0          0          0   brs_sisi.obj
         0          0          0          0          0   brs_sisq.obj
         0          0          0          0          0   brs_siva.obj
         0          0          0          0          0   brs_sivp.obj
       488          0          0          0        584   brs_str.obj
     12234        176          0          8       4372   brs_ua.obj
       346          0          0          0        336   brs_var.obj
       468          0          0        208        520   brs_vist.obj
      3310          0          0          0       1288   brs_wml.obj
         0          0          0          0          0   msf_act.obj
         0          0          0          0          0   msf_afi.obj
         0          0          0          0          0   msf_chrs.obj
         0          0          0          0          0   msf_chrt.obj
         0          0          0          0          0   msf_cmmn.obj
         0          0          0          0          0   msf_core.obj
         0          0          0          0          0   msf_dcvt.obj
         0          0          0          0          0   msf_env.obj
         0          0          0          0          0   msf_hdr.obj
         0          0          0          0          0   msf_log.obj
         0          0          0          0          0   msf_mem.obj
         0          0          0          0          0   msf_mime.obj
         0          0          0          0          0   msf_pck.obj
         0          0          0          0          0   msf_pdec.obj
         0          0          0          0          0   msf_ptok.obj
         0          0          0          0          0   msf_ptxt.obj
         0          0          0          0          0   msf_url.obj
         0          0          0          0          0   msm.obj
         0          0          0          0          0   msm_cmmn.obj
         0          0          0          0          0   msm_env.obj
         0          0          0          0          0   msm_reg.obj
         0          0          0          0          0   msm_sig.obj
         0          0          0          0          0   msm_time.obj
    148014      20706         68       1803      71316   TOTAL

