
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         8          0          0          0         52   absolute.obj
       136          0          0          0         68   addmpa.obj
       216          0          0          0         68   addmpm.obj
       208          0          0          0        128   adsubmpm.obj
       240          0          0          0         72   aes_cbc.obj
      2768      10280          0          0        272   aes_core.obj
       460         68          0          0        276   arc2ber.obj
      1838          0          0          0       1124   atagtype.obj
       124          0          0          0         76   bakupmpm.obj
       950        164          0          0        588   bbs.obj
       404         65          0          0         76   ber2arc.obj
       500         67          0          0        136   ber2dh.obj
      1552         85          0          0        368   ber2key.obj
      4328          0          0          0       1024   berdsa.obj
        40          0          0          0         60   bitinpos.obj
       112          0          0          0         64   bitsmpa.obj
         8          0          0          0         60   bitszarc.obj
        12          0          0          0         60   bitszreg.obj
       220          0          0          0         76   bloadarc.obj
      3496          0          0          0       1120   blockc.obj
      3716       2144         64          0       1524   blt_des.obj
       168          0        536        404        180   blt_init.obj
      2816         45          0          0        520   blt_md5.obj
         0          0         28          0          0   bsapis.obj
       128          0          0          0         76   bstorarc.obj
        46          0          0          0         64   clear.obj
        90          0          0          0         60   cmparc.obj
       166          0          0          0         68   cmpreg.obj
        44          0          0          0         60   communit.obj
        70          0          0          0         64   compare.obj
       108          0          0          0         68   copyarc.obj
        78          0          0          0        312   cryptlib_log.obj
       192         36          0          0        144   desut.obj
       168          0          0          0        256   dh2ber.obj
        70          0          0          0        124   displist.obj
      2390          0          0          0        348   divmpa.obj
       420          0          0          0        144   divmpm.obj
       612          0          0          0        212   dlkey.obj
      1996          0          0          0        432   dlparm.obj
       112          0          0          0         60   drsakey.obj
      5418        331          0          0       1192   dsa.obj
         6          0          0          0         52   eqmpm.obj
       432          0          0          0         68   euclid.obj
      2104          0          0          0        300   expmod.obj
        52          0          0          4        104   flags.obj
        38          0          0          0         52   flagset.obj
         0      11940          0          0          0   frstprmc.obj
       574          0          0          0        208   gcdmpa.obj
       104          0          0          0         68   gcdmpm.obj
        22          0          0          0         52   gempm.obj
        18          0          0          0         60   grabsreg.obj
        22          0          0          0         52   gtmpm.obj
         0          0         28          0          0   hashs.obj
      1416          0          0          0        272   hmac.obj
        52         37          0          0        300   hmacmd2.obj
        52         37          0          0        300   hmacmd5.obj
        52         37          0          0        300   hmacsha.obj
       484          0          0          0        148   int2s32.obj
      2286          0          0          0        412   ippg.obj
        52          0          0          0         60   is2pwarc.obj
        14          0          0          0         52   isnegarc.obj
       632         70          0          0        140   key2ber.obj
       664          0          0          0         72   keydh.obj
        24          0          0          0         60   killarc.obj
       980          0          0          0        404   kstruct.obj
        22          0          0          0         52   lempm.obj
        60          0          0          0         64   len2size.obj
       544          0          0          0        496   listitem.obj
       220          0          0          0         76   loadarc.obj
       124          0          0          0         76   loadreg.obj
         6          0          0          0         52   ltmpm.obj
        54          0          0          0         64   ltompm.obj
       104          0          0          0        124   machine.obj
        60          0          0          0        128   mbk2ostr.obj
        52          0          0          0        128   mblk.obj
       510         32        256          0        516   md2.obj
       260          0          0          0        196   mem.obj
