
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       508          0          0          4        568   DclH_kbd.obj
       260          0          0          0        290   DclS_kbd.obj
       198          0          0         68        332   Dcl_SeriPortDrv.obj
      1624         66         48          6       1654   accdet.obj
       842          0          0          2        912   adc.obj
       404          0          4          8        486   adc_msg_handle.obj
      1036         24        128          4        821   adcmeasure.obj
      1772          0          1       1468       1164   adcsche.obj
        36          0          0          1        676   alerter.obj
       808         20          0         12        603   auxmain.obj
         4          0          0          0        104   dbgprint.obj
       940          0          0        484        952   dcl_adc.obj
       404          0          0         11        459   dcl_aux.obj
      1566          0          8         41       2147   dcl_chr_det.obj
       236          0          0          4        444   dcl_f32k_clk.obj
       514          0          0          0        441   dcl_gpio.obj
      1502          0          0        581       1295   dcl_gpt.obj
      1394          0          2         24       1314   dcl_gpt_hw.obj
        24          0          0          4        208   dcl_hts.obj
       576          0          0          0        508   dcl_i2c.obj
         0          0          0          0          0   dcl_irda.obj
        48          0          0          0        416   dcl_pfc.obj
       114          0          0          8        434   dcl_pmu.obj
      2266       1416          0        104       1465   dcl_pmu6260.obj
       292          0          0          0         63   dcl_pmu6260_init.obj
       352          0          0          0        369   dcl_pmu_common.obj
      1544          0          0         20        845   dcl_pw.obj
       572          0          0         24        578   dcl_pwm.obj
        48          0          0          0        416   dcl_pxs.obj
      1070          0          0        132        563   dcl_rtc.obj
        42          0          0          0        364   dcl_sts.obj
       674          0          0         48        701   dcl_wdt.obj
      1078          0          1          0       1031   drv_comm.obj
       294          0          0        384        298   drv_hisr.obj
       528          0          0          0        324   f32k_clk.obj
      1658        324          0          2       1370   gpio.obj
      6480        415          2         32       1123   gpt_udvt_test.obj
         0          0          0          0          0   hif_legacy.obj
         0          0          0          0          0   hif_v1.obj
      3062          0          1         92        969   hif_v2.obj
      1056          0          0        190        503   i2c.obj
         0          0          0          0          0   i2c_dual.obj
      5482          0          0        194        896   i2c_udvt_test.obj
         0          0          0          0          0   kbd_jogball.obj
      2374         20          1        102       1772   kbdmain.obj
        14          0          0          0        364   lpwr.obj
         0          0          0          0          0   motion_sensor.obj
       252          0          0          1        169   nli_arb.obj
         0          0          0          0          0   pfc.obj
      1086          0         64         29        864   pwm.obj
      4002          0          0         52       3571   rtc.obj
         0          0          0          0          0   rwg.obj
      2364          0          0         86       2092   spi.obj
      1550          0          0        104        603   spi_hal.obj
         0          0          0          0          0   touch_panel.obj
         0          0          0          0          0   touch_panel_main.obj
         0          0          0          0          0   ts_drv.obj
      8390         76        132        241       5463   uart.obj
       828          0          8          8         65   uart_handler.obj
      2884          0        372          8       1180   uart_vfifo.obj
       592          0          0          1        934   wdt.obj
     65644       2361        772       4584      45183   TOTAL

