
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      8476          0          0        888       1360   FeatureExtract.obj
      1096          0          0         48        128   MavMotionCore.obj
      3192          0          0        364        268   MavWarpSwCore.obj
     22912          0          8       8920       1124   RectifyImage.obj
      6692        464          8       4720       1356   asd_core.obj
      6440        308         12         52        500   autocap_core.obj
      5160          0         32        308       2020   decider_core.obj
     14388         26          4        780       1392   fd_core.obj
      4520       5120        624         44        940   hdr_core.obj
      1896          0          0       2848        212   mav_core.obj
     16060        292          8      13804       1296   pano_core.obj
      5652         10          6        204        604   sd_core.obj
     18196        256          0          0        548   utility_core.obj
    114680       6476        702      32980      11748   TOTAL

