
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       136         20          0        168        180   ratdm_create.obj
       260          0          0          0        244   ratdm_extern_func.obj
      1446          0          0          0       1124   ratdm_gsm_handlers.obj
       272          0          0          0         60   ratdm_main.obj
      1082          0          0          0        412   ratdm_npdu_process.obj
      2000          0          0          0       1356   ratdm_signalling.obj
      1124          0          0          0        564   ratdm_tcm_data_plane.obj
       720          0          0          0        692   ratdm_utils.obj
      7040         20          0        168       4632   TOTAL

