
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      3200          0          0          0        812   acs_common_access_proc.obj
      1432          0          0          0        740   acs_common_ctrl_hdlr.obj
      3116          0          0          0        796   acs_dedi_access_proc.obj
      5440          0          0          0       1116   acs_pkt_access_proc.obj
      1946          0          0          0        988   acs_utils.obj
      1922          0          0          0       2596   csn_common.obj
       142          0          0          0        372   csn_memory.obj
      2972          0          8          0       1216   csn_special.obj
      1816          0          0          0        532   csrr_ded_access.obj
      5350          0          0          0       1740   csrr_ded_proc.obj
      2940          0          0          0        744   csrr_recv_lapdm_mesgs.obj
         0          0          0          0          0   csrr_recv_mac_mesgs.obj
      1146          0          0          0        448   csrr_recv_mm_mesgs.obj
      2564          0          0          0        732   csrr_recv_mpal_mesgs.obj
       532          0          0          0        632   csrr_send_ext_msg.obj
      4198          0          0          0       1900   csrr_send_int_msg.obj
      5646          0          0          0       2324   csrr_utils.obj
      1894          0          0          0       2204   gprs_rlcmac_common_rest.obj
     26230          0          0          0      16832   gprs_rlcmac_dl_rest.obj
     13888          0          0          0      12440   gprs_rlcmac_peer_rest.obj
      7832          0          0          0       6512   gprs_rlcmac_ul_rest.obj
      1750          0          0          0        272   lapdm_frame_funcs.obj
       660        360          0        632        380   lapdm_main.obj
      6940         23          0          0       1344   lapdm_recv_mpal_msgs.obj
      3242          0          0          0       1284   lapdm_recv_rr_msgs.obj
      1092          0          0          0        432   mac_alloc_mode_hdlr.obj
      4750          2          0          0       3008   mac_common_ctrl_hdlr.obj
      8064          0          0          0       1096   mac_data_blk_hdlr.obj
      4862          0          0          0       1360   mac_dl_ctrl_hdlr.obj
      6658          0          0          0       1076   mac_egprs_func.obj
      1972        484          0       1010       1276   mac_main.obj
      2416          0          0          0        432   mac_pa_ctrl_hdlr.obj
      2758          0          0          0       1840   mac_sendmsgs.obj
      2588         16          0          0       1316   mac_timer_hdlr.obj
      4692         76          0          0       1320   mac_ul_ctrl_hdlr.obj
      6700          0          0          0       1116   mac_ul_dl_ctrl_hdlr.obj
      7132        215          0          0       4328   mac_utils.obj
       872          0          0       2300        208   meas_config.obj
       100          0          0          0        124   meas_funcs.obj
      1584          0          0          0       1832   meascell_rest.obj
      1384          0          0          0       1124   mpal_gprs_common_func.obj
      3308         13          0          0        552   mpal_gprs_dl_func.obj
      1676          0          0          0       1140   mpal_gprs_dl_msg_hdlr.obj
      3888          0          0          0       1348   mpal_gprs_ul_func.obj
