
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0       1144          0          0          0   sim_const.obj
       196         20          0          0        240   sim_create.obj
     10882          0          0          0       3364   sim_driver_interfaces.obj
     16118         80          0          0       5776   sim_handler.obj
       420          0          0       1000        256   sim_init.obj
       592          0          0          0         80   sim_main.obj
     26798         22          0          0       7212   sim_toolkit.obj
      1560          0          0          0        840   usim_fcp_parser.obj
      5744         70          0          0       1128   usim_handler.obj
     62310       1336          0       1000      18896   TOTAL

