
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1134          0          0         24        402   MT6302_SPI.obj
       768          0         44        148       1142   dcl_sim.obj
      1100          0          0       5484       1440   icc_sim_common_mtk.obj
      7896          6          0         44       1642   icc_switchControl0.obj
     10136         10         43          4       2775   icc_switchControl1.obj
      5366         80         36        192       3162   icc_switchControl2.obj
       712          0         60         20        620   icc_switchControl_al.obj
      6980          6          0         20       1579   icc_switchControl_mtk_0.obj
      7104         10         43          0       2869   icc_switchControl_mtk_1.obj
     41196        112        226       5936      15631   TOTAL

