
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1316          0          0          0        918   ADIE_Eint.obj
       758          4          0         16        985   ADIE_intrCtrl.obj
      2018          0          2        624       1435   Eint.obj
       224          0         48          1        728   FTL.obj
         0          0          0          0          0   arm11_pmu_montr.obj
       976          0          0          0       1178   arm_unaligned.obj
       490          0          4          8       1748   armlibc_rt.obj
       720          0          0         32        707   armlibc_rt_heap.obj
       396         23         12         12       3446   armlibc_rt_io.obj
         0          0          0          0          0   boot_cert_pattern.obj
       776          0         20       4664        410   bootarm.obj
       204          0          0          0        118   br_GFH_file_info.obj
       194          0          0          0        192   br_GFH_parser.obj
      2556         60          0          4       2129   cache.obj
      9534        128         20       1180       4053   cbr.obj
       124          0          0       2052         65   cbr_util.obj
       788          8          4         12        439   code_decompression_hal.obj
         0          0          0          0         18   cp15.obj
       426          0          0         36        665   dcm.obj
        88          0          0          0         63   dcm_service.obj
       894       3324        524      20072        648   dcmgr_pl.obj
      2874         24         40         33       1566   dma.obj
       134         12          0         24        453   emi.obj
        28          0          0          0         80   event_timer.obj
         4          0          0          4         52   excep_hdlr.obj
        26          0          0          0        364   fault.obj
        52         20          0          4        111   idle_task.obj
       200          0          0          0        126   info.obj
      1176         11         13        156       1636   init.obj
       604         20          0          0        465   init_comm.obj
       720          0          0        408        549   init_memory_stack.obj
         0          0          0          0          0   init_trc.obj
      1806         55          2        164       1625   intrCtrl.obj
       392          0          0          0        648   irq.obj
       894          0          4        768       1110   isrentry.obj
        24        608          0          0         52   maui_GFH_body.obj
         0          0          0          0         18   misc.obj
         0          0          0          0          0   nfb_loader.obj
         2          0          0          0         52   pdn.obj
         0          0          0          0          0   pdnoldarch.obj
       212          0          0          0        174   pll.obj
      1468          0          0          0        347   regioninit_ads.obj
       104          0          0          0        240   stack.obj
       172          0          0         16        278   uscounter.obj
         0         20          0          0          0   viva.obj
     33374       4317        693      30290      29891   TOTAL

