
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
      1206          0          0        581        684   L1Trc.obj
       336          0         78          0         64   TrcMod.obj
         6          0          0        520        104   dspsys_statistics.obj
       128          0          0          0        188   gv.obj
         0          0         12          0          0   gvtbl.obj
      4710         24          1    1048608       1760   tst_assert.obj
      2098         32         79       9466       1068   tst_create.obj
      1552         24          0         20        600   tst_ext.obj
      1468          0         20          0       2624   tst_hal_wrapper_layer.obj
       690          0          0          0        512   tst_log.obj
      5136         81          0         17       1780   tst_mod_func.obj
         4          0          0          0         52   tst_querysimid.obj
      1508         32          2        315        680   tst_reader_create.obj
      2084          0          0         32       1720   tst_reader_trace_utility.obj
        50          0          0          0        936   tst_sp_logging.obj
      3816          0          0        160       2584   tst_trace.obj
         0          0          0          0          0   tst_viti_logging.obj
        12          0          0          0        208   tst_viti_usb_logging.obj
     24804        193        192    1059719      15564   TOTAL

