ENUM_ID	ID_VALUE	ID_STR	STR LENGTH	duplicate ID
STR_GLOBAL_0	1	0	4	
STR_GLOBAL_1	2	1	4	
STR_GLOBAL_2	3	2	4	
STR_GLOBAL_3	4	3	4	
STR_GLOBAL_4	5	4	4	
STR_GLOBAL_5	6	5	4	
STR_GLOBAL_6	7	6	4	
STR_GLOBAL_7	8	7	4	
STR_GLOBAL_8	9	8	4	
STR_GLOBAL_9	10	9	4	
STR_GLOBAL_10	11	10	6	
STR_GLOBAL_LOGO	120	Logo	10	
STR_GLOBAL_NOT_SUPPORT_AT_PC_SIMULATOR	147	Not supported on PC simulator	60	
MSF_STR_ID_DLG_EXISTS_TITLE	3694	File exists	24	
MSF_STR_ID_DLG_NO_REPLACE_TEXT2	3696	  exists and cannot be replaced.	66	
MSF_STR_ID_SAS_ACTION_CANCEL	3706	Cancel	14	
MSF_STR_ID_INTERNAL_ERROR	3754	Internal error	30	
WIDGET_STR_ID_RECEIVED_JAVA_MMS_MSG	4427	New JAVA MMS Message	42	
STR_ID_APP_MRE	4817	?	4	
STR_MRE_NETWORK_CMWAP_ONLY	4821	?	4	STR_ID_APP_MRE
STR_MRE_NETWORK_CMNET_ONLY	4822	?	4	STR_ID_APP_MRE
STR_MRE_NETWORK_WIFI	4827	?	4	STR_ID_APP_MRE
STR_SRV_MOT	7607	?	4	STR_ID_APP_MRE
STR_MDI_AUDPLY	7739	?	4	STR_ID_APP_MRE
STR_MDI_AUD_INFO	7742	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY	7745	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_V	7748	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_A	7751	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_QVGA	7754	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_CIF	7757	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_PREVIEW	7760	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_INFO	7763	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_MP4	7766	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_SUBTITLE	7769	?	4	STR_ID_APP_MRE
STR_MDI_VDOPLY_QVGA_MPEG4SP	7772	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_STANDARD	7946	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_FULL	7949	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_ONLY_CAP_LCD	7952	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_ONLY_CAP_LCD_DISABLE_JAIA	7955	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_CAP_VGA_BELOW	7958	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_AUTORAMA	7961	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_CAP_HDR	7964	?	4	STR_ID_APP_MRE
STR_MDI_CAMERA_CAP_MAV	7967	?	4	STR_ID_APP_MRE
WGUI_UCE_SMS_STRING_ID	10738	SMS	8	
WGUI_UCE_MMS_STRING_ID	10739	MMS	8	
STR_ID_MTE_PIN	10752	PIN	8	
STR_ID_EM_GLOBAL_PROCESSING	11919	Processing...	28	
STR_ID_EM_SIM_CARD_IS_NOT_AVAILABLE	11920	This SIM card is not available	62	
STR_ID_EM_WARNING	11921	Not allow or conflict!	46	
STR_ID_EM_SET_LSK	11922	Set	8	
STR_ID_EM_NOTICE_SUCCESS_REBOO	11923	Done.
Power off in 3 sec	50	
STR_ID_EM_GLOBAL_AUTO	11924	Auto	10	
STR_ID_EM_TRUE	11925	True	10	
STR_ID_EM_FALSE	11926	False	12	
STR_ID_EM_APP_NAME	11927	Engineering mode	34	
STR_ID_EM_DEVICE	11928	Device	14	
STR_ID_EM_DEV_MM_COLOR	11929	MM Color Adjust	32	
STR_ID_EM_DEV_SHARP	11930	Sharpness	20	
STR_ID_EM_DEV_CONTRAST	11931	Contrast	18	
STR_ID_EM_DEV_SATURATION	11932	Saturation	22	
STR_ID_EM_DEV_SET_UART	11933	Set UART	18	
STR_ID_EM_DEV_SET_UART_SETTING	11934	UART setting	26	
STR_ID_EM_DEV_SET_UART_TST_PS	11935	TST-PS config	28	
STR_ID_EM_DEV_SET_UART_TST_L1	11936	TST-L1 config	28	
STR_ID_EM_DEV_SET_UART_PS	11937	PS config	20	
STR_ID_EM_DEV_USB_PORT	11938	USB port	18	
STR_ID_EM_DEV_USB_PORT2	11939	USB port 2	22	
STR_ID_EM_DEV_UART_1	11940	UART 1	14	
STR_ID_EM_DEV_UART_2	11941	UART 2	14	
STR_ID_EM_DEV_UART_3	11942	UART 3	14	
STR_ID_EM_DEV_DCM_MODE	11943	DCM mode	18	
STR_ID_EM_AUDIO	11944	Audio	12	
STR_ID_EM_AUD_AUTO_VM_SETTING	11945	Auto record setting	40	
STR_ID_EM_AUD_VM_SUPPORT	11946	VM Support	22	
STR_ID_EM_AUD_AUTO_VM_SPH	11947	Auto Speech Record	38	
STR_ID_EM_MISC	11948	Misc.	12	
STR_ID_EM_MISC_MEMORY_DUMP	11949	Memory dump	24	
STR_ID_EM_MRE	11950	MRE	8	
STR_ID_EM_BT_BD_ADDR	11951	BD address	22	
STR_ID_EM_PROFILING	11952	Profiling	20	
STR_ID_EM_PROFILING_SWLA	11953	SWLA	10	
STR_ID_EM_PROFILING_SWLA_RESUILT_INFOR	11954	SWLA result infor	36	
STR_ID_EM_PROFILING_FRM	11955	Frame profiling	32	
STR_ID_EM_PROFILING_FRM_DISPLAY_TIME_TEXT	11956	Display Time	26	
STR_ID_EM_PROFILING_FRM_GDI_PROFILE_TEXT	11957	GDI Image Profile	36	
STR_ID_EM_PROFILING_FRM_SCREEN_DELAY_TEXT	11958	Screen Delay (ms)	36	
STR_ID_EM_PROFILING_FRM_MATRIX_DELAY_TEXT	11959	Matrix Delay (ms)	36	
STR_ID_EM_PROFILING_FRM_LIST_DELAY_TEXT	11960	List Delay (ms)	32	
STR_ID_EM_PROFILING_FRM_DELAY_OFFSET_TEXT	11961	Time Offset (ms)	34	
STR_ID_EM_PROFILING_EXTRA_LAYER	11962	Extra layer	24	
STR_ID_EM_PROFILING_ROTATE	11963	Rotate	14	
STR_ID_EM_PROFILING_PLAY_SIZE	11964	Play size	20	
STR_ID_EM_PROFILING_TVOUT_MODE	11965	TV-Out mode	24	
STR_ID_EM_PROFILING_ROTATE_0	11966	Rotate 0	18	
STR_ID_EM_PROFILING_ROTATE_90	11967	Rotate 90	20	
STR_ID_EM_PROFILING_ROTATE_180	11968	Rotate 180	22	
STR_ID_EM_PROFILING_ROTATE_270	11969	Rotate 270	22	
STR_ID_EM_PROFILING_TV_FULL_SCREEN	11970	Full screen	24	
STR_ID_EM_PROFILING_TV_LCD_SCREEN	11971	LCD screen	22	
STR_ID_EM_PROFILING_SIZE_SQCIF	11972	SQCIF (128x96)	30	
STR_ID_EM_PROFILING_SIZE_QCIF	11973	SQCIF (128x96)	30	STR_ID_EM_PROFILING_SIZE_SQCIF
STR_ID_EM_PROFILING_SIZE_CIF	11974	CIF (352x288)	28	
STR_ID_EM_PROFILING_SIZE_QQVGA	11975	QQVGA (160x120)	32	
