EVENT ID	Type	File name
EVT_ID_SRV_ALM_OP	SENDER	mmi_rp_srv_alarm_def.h
EVT_ID_MMI_CLOG_ACT_START_APPLY	NONE	mmi_rp_app_calllog_def.h
EVT_ID_MMI_CLOG_ACT_APPLY_DONE	NONE	mmi_rp_app_calllog_def.h
EVT_ID_MMI_CLOG_LT_EXIST	NONE	mmi_rp_app_calllog_def.h
EVT_ID_MMI_CLOG_VR_EXIT	NONE	mmi_rp_app_calllog_def.h
EVT_ID_SRV_CLOG_READY	SENDER	mmi_rp_srv_calllog_def.h
EVT_ID_SRV_CLOG_ADD_LOG	SENDER	mmi_rp_srv_calllog_def.h
EVT_ID_SRV_CLOG_UPDATE_LOG	SENDER	mmi_rp_srv_calllog_def.h
EVT_ID_SRV_CLOG_UPDATE_ALL	SENDER	mmi_rp_srv_calllog_def.h
EVT_ID_SRV_CLOG_DEL_LOG	SENDER	mmi_rp_srv_calllog_def.h
EVT_ID_SRV_CLOG_DEL_ALL	SENDER	mmi_rp_srv_calllog_def.h
EVT_ID_SRV_CALLSET_ACT_RESPONSE	NONE	mmi_rp_srv_callset_def.h
EVT_ID_SRV_CALLSET_LINE_SWITCHED	SENDER	mmi_rp_srv_callset_def.h
EVT_ID_SRV_CALLSET_CFU_STATUS_IND	SENDER	mmi_rp_srv_callset_def.h
EVT_ID_SRV_CALLSET_CTM_SETTING_CHANGED	SENDER	mmi_rp_srv_callset_def.h
EVT_ID_SRV_CALLSET_INT_ACT	NONE	mmi_rp_srv_callset_def.h
EVT_ID_SRV_CBS_READY_IND	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_NEW_MSG_IND	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_GS_CHANGE_IND	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_ADD_MSG	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_DEL_MSG	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_ADD_CHNL	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_DEL_CHNL	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_UPDATE_CHNL	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_MODE_CHANGE	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CBS_INIT_OP_IND	SENDER	mmi_rp_srv_cbs_def.h
EVT_ID_SRV_CNMGR_NOTIFY_NWINFO	SENDER	mmi_rp_srv_cnmgr_def.h
EVT_ID_SRV_DATETIME_CHANGE	SENDER	mmi_rp_srv_datetime_def.h
EVT_ID_SRV_DTCNT_WLAN_ACTIVE	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CONNECTED	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_INACTIVE	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_SCAN	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CONNECT	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_BEARER_STATUS	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CONN_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_DISC_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_IPADDR_UPDATE	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_IPADDR_CONFLICT_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CURR_AP_INFO	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_WPS_INFO	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CHANGE_BEARER_TO_WLAN	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CHANGE_BEARER_TO_CELLULAR_NETWORK	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_PROV_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_PROV_INSTALL_RES_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_PROV_DONE_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_ACCT_UPDATE_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_ACCT_DELETE_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_SIM_PREFERENCE_UPDATE_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_CHANGE_REAL_ACCT_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_INIT_RES_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_DEINIT_RES_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_CONN_RES_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_DISC_RES_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_SCAN_RES_IND	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WLAN_IPADDR_CHANGE_QRY	SENDER	mmi_rp_srv_dtcnt_def.h
EVT_ID_SRV_DTCNT_WIFI_CHIP_INVALID	SENDER	mmi_rp_srv_dtcnt_def.h
